granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8075,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,,"Maloney, Carolyn B.",Carolyn Maloney,Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7815,1973,SPEAKING,H,114,G000559,"Garamendi, John",CA,D,,"Garamendi, John",,Mr. GARAMENDI,John Garamendi
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8213,1528,SPEAKING,H,114,S000510,"Smith, Adam",WA,D,,"Smith, Adam",,Mr. SMITH of Washington,Adam Smith
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8166,1804,SPEAKING,H,114,M001157,"McCaul, Michael T.",TX,R,,"McCaul, Michael T.",Mr. Michael Mccaul,Mr. McCAUL,Michael T. McCaul
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2099,SPEAKING,H,114,S001191,"Sinema, Kyrsten",AZ,D,,"Sinema, Kyrsten",,Ms. SINEMA,Kyrsten Sinema
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8013,1790,SPEAKING,H,114,C001061,"Cleaver, Emanuel",MO,D,,"Cleaver, Emanuel",,Mr. CLEAVER,Emanuel Cleaver
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7903,1778,SPEAKING,H,114,P000591,"Price, Tom",GA,R,,"Price, Tom",,Mr. TOM PRICE of Georgia,Tom Price
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",,Mr. LaMALFA,Doug LaMalfa
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,,"Gallego, Ruben",,Mr. GALLEGO,Ruben Gallego
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2256,SPEAKING,H,114,R000603,"Rouzer, David",NC,R,,"Rouzer, David",,Mr. ROUZER,David Rouzer
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2252,SPEAKING,H,114,L000581,"Lawrence, Brenda L.",MI,D,,"Lawrence, Brenda L.",Mrs. Brenda Lawrence,Mrs. LAWRENCE,Brenda L. Lawrence
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7828,1471,SPEAKING,H,114,C001036,"Capps, Lois",CA,D,,"Capps, Lois",,Mrs. CAPPS,Lois Capps
CREC-2015-05-15-pt1-PgH3236-4,CREC-2015-05-15,8755,1155,SPEAKING,H,114,T000238,"Thornberry, Mac",TX,R,,"Thornberry, Mac",William Thornberry,Mr. THORNBERRY,Mac Thornberry
CREC-2015-05-15-pt1-PgH3236-8,CREC-2015-05-15,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. Donna Edwards,Ms. EDWARDS,Donna F. Edwards
CREC-2015-05-15-pt1-PgH3236-6,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3236-7,CREC-2015-05-15,,2224,SPEAKING,H,114,W000821,"Westerman, Bruce",AR,R,,"Westerman, Bruce",,Mr. WESTERMAN,Bruce Westerman
CREC-2015-05-15-pt1-PgH3236-5,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3237-2,CREC-2015-05-15,7919,2011,SPEAKING,H,114,L000573,"Labrador, Raul R.",ID,R,,"Labrador, Raul R.",Mr. Raul Labrador,Mr. LABRADOR,Raul R. Labrador
CREC-2015-05-15-pt1-PgH3236-9,CREC-2015-05-15,7888,1916,SPEAKING,H,114,R000583,"Rooney, Thomas J.",FL,R,,"Rooney, Thomas J.",Mr. Thomas Rooney,Mr. ROONEY of Florida,Thomas J. Rooney
CREC-2015-05-15-pt1-PgH3237,CREC-2015-05-15,,2229,SPEAKING,H,114,A000371,"Aguilar, Pete",CA,D,,"Aguilar, Pete",,Mr. AGUILAR,Pete Aguilar
CREC-2015-05-15-pt1-PgH3237-3,CREC-2015-05-15,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2015-05-15-pt1-PgH3237-4,CREC-2015-05-15,8003,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,,"Paulsen, Erik",,Mr. PAULSEN,Erik Paulsen
CREC-2015-05-15-pt1-PgH3238-2,CREC-2015-05-15,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-05-15-pt1-PgH3238,CREC-2015-05-15,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2015-05-15-pt1-PgH3238-3,CREC-2015-05-15,8204,1879,SPEAKING,H,114,W000800,"Welch, Peter",VT,D,,"Welch, Peter",,Mr. WELCH,Peter Welch
CREC-2015-05-15-pt1-PgH3238-4,CREC-2015-05-15,8156,1878,SPEAKING,H,114,C001068,"Cohen, Steve",TN,D,,"Cohen, Steve",,Mr. COHEN,Steve Cohen
CREC-2015-05-15-pt1-PgH3243,CREC-2015-05-15,,2275,SPEAKING,H,114,N000189,"Newhouse, Dan",WA,R,,"Newhouse, Dan",,Mr. NEWHOUSE,Dan Newhouse
CREC-2015-05-15-pt1-PgH3238-5,CREC-2015-05-15,7851,979,SPEAKING,H,114,R000409,"Rohrabacher, Dana",CA,R,,"Rohrabacher, Dana",,Mr. ROHRABACHER,Dana Rohrabacher
CREC-2015-05-15-pt1-PgH3238-5,CREC-2015-05-15,8167,1805,SPEAKING,H,114,C001062,"Conaway, K. Michael",TX,R,,"Conaway, K. Michael",,Mr. CONAWAY,K. Michael Conaway
CREC-2015-05-15-pt1-PgH3243-2,CREC-2015-05-15,8165,1803,SPEAKING,H,114,G000553,"Green, Al",TX,D,,"Green, Al",,Mr. AL GREEN of Texas,Al Green
CREC-2015-05-15-pt1-PgH3249-3,CREC-2015-05-15,8157,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,"Gohmert, Louie",,Mr. GOHMERT,Louie Gohmert
CREC-2015-05-15-pt1-PgH3249-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3249,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3246,CREC-2015-05-15,8157,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,"Gohmert, Louie",,Mr. GOHMERT,Louie Gohmert
CREC-2015-05-15-pt1-PgH3246,CREC-2015-05-15,8165,1803,SPEAKING,H,114,G000553,"Green, Al",TX,D,,"Green, Al",,Mr. AL GREEN of Texas,Al Green
CREC-2015-05-15-pt1-PgH3250,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3249-4,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3250-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3251,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-4,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-3,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-5,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-6,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-7,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3252-8,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-3,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-4,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-5,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-7,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-6,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-8,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-11,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-9,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-12,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-10,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-14,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-13,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-15,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-16,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-17,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-18,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-20,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-19,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-21,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-22,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-23,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-24,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-25,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-27,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-26,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-28,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-29,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-30,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-31,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-32,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3253-33,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3254-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3254,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3254-5,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3254-3,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3255,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3254-4,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgE717-2,CREC-2015-05-15,,2140,SPEAKING,H,114,H001067,"Hudson, Richard",NC,R,,"Hudson, Richard",,Mr. HUDSON,Richard Hudson
CREC-2015-05-15-pt1-PgE717-3,CREC-2015-05-15,7822,368,SPEAKING,H,114,F000030,"Farr, Sam",CA,D,,"Farr, Sam",,Mr. FARR,Sam Farr
CREC-2015-05-15-pt1-PgE717-5,CREC-2015-05-15,8207,2071,SPEAKING,H,114,H001056,"Herrera Beutler, Jaime",WA,R,,"Herrera Beutler, Jaime",,Ms. HERRERA BEUTLER,Jaime Herrera Beutler
CREC-2015-05-15-pt1-PgE717-4,CREC-2015-05-15,8127,1681,SPEAKING,H,114,S001154,"Shuster, Bill",PA,R,,"Shuster, Bill",,Mr. SHUSTER,Bill Shuster
CREC-2015-05-15-pt1-PgE718-2,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE718-3,CREC-2015-05-15,8076,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,,"Rangel, Charles B.",Charles Rangel,Mr. RANGEL,Charles B. Rangel
CREC-2015-05-15-pt1-PgE718,CREC-2015-05-15,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",,Mr. VAN HOLLEN,Chris Van Hollen
CREC-2015-05-15-pt1-PgE718-4,CREC-2015-05-15,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. Donna Edwards,Ms. EDWARDS,Donna F. Edwards
CREC-2015-05-15-pt1-PgE718-5,CREC-2015-05-15,8158,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-05-15-pt1-PgE719,CREC-2015-05-15,7889,2004,SPEAKING,H,114,W000808,"Wilson, Frederica S.",FL,D,,"Wilson, Frederica S.",Frederica Wilson,Ms. WILSON of Florida,Frederica S. Wilson
CREC-2015-05-15-pt1-PgE719-3,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE719-2,CREC-2015-05-15,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",,Mr. VAN HOLLEN,Chris Van Hollen
CREC-2015-05-15-pt1-PgE720,CREC-2015-05-15,,2119,SPEAKING,H,114,F000462,"Frankel, Lois",FL,D,,"Frankel, Lois",,Ms. FRANKEL of Florida,Lois Frankel
CREC-2015-05-15-pt1-PgE720-2,CREC-2015-05-15,8755,1155,SPEAKING,H,114,T000238,"Thornberry, Mac",TX,R,,"Thornberry, Mac",William Thornberry,Mr. THORNBERRY,Mac Thornberry
CREC-2015-05-15-pt1-PgE719-4,CREC-2015-05-15,8061,2040,SPEAKING,H,114,H001055,"Heck, Joseph J.",NV,R,,"Heck, Joseph J.",Mr. Joseph Heck,Mr. HECK of Nevada,Joseph J. Heck
CREC-2015-05-15-pt1-PgE720-3,CREC-2015-05-15,7975,2025,SPEAKING,H,114,K000375,"Keating, William R.",MA,D,,"Keating, William R.",Mr. William Keating,Mr. KEATING,William R. Keating
CREC-2015-05-15-pt1-PgE721,CREC-2015-05-15,8099,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,,"Kaptur, Marcy",,Ms. KAPTUR,Marcy Kaptur
CREC-2015-05-15-pt1-PgE721-2,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE721-3,CREC-2015-05-15,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",,Mr. VAN HOLLEN,Chris Van Hollen
CREC-2015-05-15-pt1-PgE721-4,CREC-2015-05-15,7851,979,SPEAKING,H,114,R000409,"Rohrabacher, Dana",CA,R,,"Rohrabacher, Dana",,Mr. ROHRABACHER,Dana Rohrabacher
CREC-2015-05-15-pt1-PgE722,CREC-2015-05-15,8200,2070,SPEAKING,H,114,G000568,"Griffith, H. Morgan",VA,R,,"Griffith, H. Morgan",,Mr. GRIFFITH,H. Morgan Griffith
CREC-2015-05-15-pt1-PgE722-2,CREC-2015-05-15,8075,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,,"Maloney, Carolyn B.",Carolyn Maloney,Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney
CREC-2015-05-15-pt1-PgE722-3,CREC-2015-05-15,7911,1723,SPEAKING,H,114,B001245,"Bordallo, Madeleine Z.",GU,D,,"Bordallo, Madeleine Z.",Ms. Madeleine Bordallo,Ms. BORDALLO,Madeleine Z. Bordallo
CREC-2015-05-15-pt1-PgE723,CREC-2015-05-15,7871,868,SPEAKING,H,114,N000147,"Norton, Eleanor Holmes",DC,D,,"Norton, Eleanor Holmes",Eleanor Norton,Ms. NORTON,Eleanor Holmes Norton
CREC-2015-05-15-pt1-PgE723-2,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE723-3,CREC-2015-05-15,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. Donna Edwards,Ms. EDWARDS,Donna F. Edwards
CREC-2015-05-15-pt1-PgE723-4,CREC-2015-05-15,8107,1756,SPEAKING,H,114,R000577,"Ryan, Tim",OH,D,,"Ryan, Tim",,Mr. RYAN of Ohio,Tim Ryan
CREC-2015-05-15-pt1-PgE724,CREC-2015-05-15,7899,91,SPEAKING,H,114,B000490,"Bishop, Sanford D., Jr.",GA,D,,"Bishop, Sanford D., Jr.",Sanford Bishop,Mr. BISHOP of Georgia,"Sanford D. Bishop, Jr."
CREC-2015-05-15-pt1-PgE725,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE724-2,CREC-2015-05-15,7867,1836,SPEAKING,H,114,C001069,"Courtney, Joe",CT,D,,"Courtney, Joe",,Mr. COURTNEY,Joe Courtney
CREC-2015-05-15-pt1-PgE725-2,CREC-2015-05-15,7948,2019,SPEAKING,H,114,Y000064,"Young, Todd",IN,R,,"Young, Todd",Mr. Todd C. Young,Mr. YOUNG of Indiana,Todd Young
CREC-2015-05-15-pt1-PgE725-3,CREC-2015-05-15,8089,1069,SPEAKING,H,114,S000480,"Slaughter, Louise McIntosh",NY,D,,"Slaughter, Louise McIntosh",Louise Slaughter,Ms. SLAUGHTER,Louise McIntosh Slaughter
CREC-2015-05-15-pt1-PgE725-4,CREC-2015-05-15,8213,1528,SPEAKING,H,114,S000510,"Smith, Adam",WA,D,,"Smith, Adam",,Mr. SMITH of Washington,Adam Smith
CREC-2015-05-15-pt1-PgE726,CREC-2015-05-15,8076,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,,"Rangel, Charles B.",Charles Rangel,Mr. RANGEL,Charles B. Rangel
CREC-2015-05-15-pt1-PgE726-2,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE726-3,CREC-2015-05-15,7953,1222,SPEAKING,H,114,W000413,"Whitfield, Ed",KY,R,,"Whitfield, Ed",Edward Whitfield,Mr. WHITFIELD,Ed Whitfield
CREC-2015-05-15-pt1-PgE726-4,CREC-2015-05-15,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",,Mr. VAN HOLLEN,Chris Van Hollen
CREC-2015-05-15-pt1-PgE727-3,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgE727-2,CREC-2015-05-15,8063,1663,SPEAKING,H,114,I000057,"Israel, Steve",NY,D,,"Israel, Steve",,Mr. ISRAEL,Steve Israel
CREC-2015-05-15-pt1-PgE727,CREC-2015-05-15,7810,1814,SPEAKING,H,114,M001163,"Matsui, Doris O.",CA,D,,"Matsui, Doris O.",Ms. Doris Matsui,Ms. MATSUI,Doris O. Matsui
CREC-2015-05-15-pt1-PgE727-4,CREC-2015-05-15,7899,91,SPEAKING,H,114,B000490,"Bishop, Sanford D., Jr.",GA,D,,"Bishop, Sanford D., Jr.",Sanford Bishop,Mr. BISHOP of Georgia,"Sanford D. Bishop, Jr."
CREC-2015-05-15-pt1-PgE728,CREC-2015-05-15,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. Donna Edwards,Ms. EDWARDS,Donna F. Edwards
CREC-2015-05-15-pt1-PgE728-2,CREC-2015-05-15,8020,1151,SPEAKING,H,114,T000193,"Thompson, Bennie G.",MS,D,,"Thompson, Bennie G.",Bennie Thompson,Mr. THOMPSON of Mississippi,Bennie G. Thompson
CREC-2015-05-15-pt1-PgD550,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgD550-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgD553-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgD550-3,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgD553,CREC-2015-05-15,,,,,,,,,,,,,,
