policy_area,issue_number,salience,dateIssued,year_week
Education,600,50.0,2015-01-18,2015_3
Environment,700,50.0,2015-01-18,2015_3
Energy,800,50.0,2015-01-18,2015_3
Transportation,1000,50.0,2015-01-18,2015_3
Law and Crime,1200,50.0,2015-01-18,2015_3
Social Welfare,1300,50.0,2015-01-18,2015_3
Housing,1400,50.0,2015-01-18,2015_3
Domestic Commerce,1500,50.0,2015-01-18,2015_3
Defense,1600,50.0,2015-01-18,2015_3
Technology,1700,50.0,2015-01-18,2015_3
International Affairs,1900,50.0,2015-01-18,2015_3
Government Operations,2000,50.0,2015-01-18,2015_3
Public Lands,2100,50.0,2015-01-18,2015_3
Macroeconomics,100,50.0,2015-01-25,2015_4
Civil Rights,200,50.0,2015-01-25,2015_4
Health,300,50.0,2015-01-25,2015_4
Agriculture,400,50.0,2015-01-25,2015_4
Labor,500,50.0,2015-01-25,2015_4
Education,600,50.0,2015-01-25,2015_4
Environment,700,50.0,2015-01-25,2015_4
Energy,800,50.0,2015-01-25,2015_4
Transportation,1000,50.0,2015-01-25,2015_4
Law and Crime,1200,50.0,2015-01-25,2015_4
Social Welfare,1300,50.0,2015-01-25,2015_4
Housing,1400,50.0,2015-01-25,2015_4
Domestic Commerce,1500,50.0,2015-01-25,2015_4
Defense,1600,50.0,2015-01-25,2015_4
Technology,1700,50.0,2015-01-25,2015_4
International Affairs,1900,50.0,2015-01-25,2015_4
Government Operations,2000,50.0,2015-01-25,2015_4
Public Lands,2100,50.0,2015-01-25,2015_4
Macroeconomics,100,50.0,2015-02-01,2015_5
Civil Rights,200,50.0,2015-02-01,2015_5
Health,300,50.0,2015-02-01,2015_5
Agriculture,400,50.0,2015-02-01,2015_5
Labor,500,50.0,2015-02-01,2015_5
Education,600,50.0,2015-02-01,2015_5
Environment,700,50.0,2015-02-01,2015_5
Energy,800,50.0,2015-02-01,2015_5
Transportation,1000,50.0,2015-02-01,2015_5
Law and Crime,1200,50.0,2015-02-01,2015_5
Social Welfare,1300,50.0,2015-02-01,2015_5
Housing,1400,50.0,2015-02-01,2015_5
Domestic Commerce,1500,50.0,2015-02-01,2015_5
Defense,1600,50.0,2015-02-01,2015_5
Technology,1700,50.0,2015-02-01,2015_5
International Affairs,1900,50.0,2015-02-01,2015_5
Government Operations,2000,50.0,2015-02-01,2015_5
Public Lands,2100,50.0,2015-02-01,2015_5
Macroeconomics,100,50.0,2015-02-08,2015_6
Civil Rights,200,50.0,2015-02-08,2015_6
Health,300,50.0,2015-02-08,2015_6
Agriculture,400,50.0,2015-02-08,2015_6
Labor,500,50.0,2015-02-08,2015_6
Education,600,50.0,2015-02-08,2015_6
Environment,700,50.0,2015-02-08,2015_6
Energy,800,50.0,2015-02-08,2015_6
Transportation,1000,50.0,2015-02-08,2015_6
Law and Crime,1200,50.0,2015-02-08,2015_6
Social Welfare,1300,50.0,2015-02-08,2015_6
Housing,1400,50.0,2015-02-08,2015_6
Domestic Commerce,1500,50.0,2015-02-08,2015_6
Defense,1600,50.0,2015-02-08,2015_6
Technology,1700,50.0,2015-02-08,2015_6
International Affairs,1900,50.0,2015-02-08,2015_6
Government Operations,2000,50.0,2015-02-08,2015_6
Public Lands,2100,50.0,2015-02-08,2015_6
Macroeconomics,100,50.0,2015-02-15,2015_7
Civil Rights,200,50.0,2015-02-15,2015_7
Health,300,50.0,2015-02-15,2015_7
Agriculture,400,50.0,2015-02-15,2015_7
Labor,500,50.0,2015-02-15,2015_7
Education,600,50.0,2015-02-15,2015_7
Environment,700,50.0,2015-02-15,2015_7
Energy,800,50.0,2015-02-15,2015_7
Transportation,1000,50.0,2015-02-15,2015_7
Law and Crime,1200,50.0,2015-02-15,2015_7
Social Welfare,1300,50.0,2015-02-15,2015_7
Housing,1400,50.0,2015-02-15,2015_7
Domestic Commerce,1500,50.0,2015-02-15,2015_7
Defense,1600,50.0,2015-02-15,2015_7
Technology,1700,50.0,2015-02-15,2015_7
International Affairs,1900,50.0,2015-02-15,2015_7
Government Operations,2000,50.0,2015-02-15,2015_7
Public Lands,2100,50.0,2015-02-15,2015_7
Macroeconomics,100,50.0,2015-02-22,2015_8
Civil Rights,200,50.0,2015-02-22,2015_8
Health,300,50.0,2015-02-22,2015_8
Agriculture,400,50.0,2015-02-22,2015_8
Labor,500,50.0,2015-02-22,2015_8
Education,600,50.0,2015-02-22,2015_8
Environment,700,50.0,2015-02-22,2015_8
Energy,800,50.0,2015-02-22,2015_8
Transportation,1000,50.0,2015-02-22,2015_8
Law and Crime,1200,50.0,2015-02-22,2015_8
Social Welfare,1300,50.0,2015-02-22,2015_8
Housing,1400,50.0,2015-02-22,2015_8
Domestic Commerce,1500,50.0,2015-02-22,2015_8
Defense,1600,50.0,2015-02-22,2015_8
Technology,1700,50.0,2015-02-22,2015_8
International Affairs,1900,50.0,2015-02-22,2015_8
Government Operations,2000,50.0,2015-02-22,2015_8
Public Lands,2100,50.0,2015-02-22,2015_8
Macroeconomics,100,50.0,2015-03-01,2015_9
Civil Rights,200,50.0,2015-03-01,2015_9
Health,300,50.0,2015-03-01,2015_9
Agriculture,400,50.0,2015-03-01,2015_9
Labor,500,50.0,2015-03-01,2015_9
Education,600,50.0,2015-03-01,2015_9
Environment,700,50.0,2015-03-01,2015_9
Energy,800,50.0,2015-03-01,2015_9
Transportation,1000,50.0,2015-03-01,2015_9
Law and Crime,1200,50.0,2015-03-01,2015_9
Social Welfare,1300,50.0,2015-03-01,2015_9
Housing,1400,50.0,2015-03-01,2015_9
Domestic Commerce,1500,50.0,2015-03-01,2015_9
Defense,1600,50.0,2015-03-01,2015_9
Technology,1700,50.0,2015-03-01,2015_9
International Affairs,1900,50.0,2015-03-01,2015_9
Government Operations,2000,50.0,2015-03-01,2015_9
Public Lands,2100,50.0,2015-03-01,2015_9
Macroeconomics,100,50.0,2015-03-08,2015_10
Civil Rights,200,50.0,2015-03-08,2015_10
Health,300,50.0,2015-03-08,2015_10
Agriculture,400,50.0,2015-03-08,2015_10
Labor,500,50.0,2015-03-08,2015_10
Education,600,50.0,2015-03-08,2015_10
Environment,700,50.0,2015-03-08,2015_10
Energy,800,50.0,2015-03-08,2015_10
Transportation,1000,50.0,2015-03-08,2015_10
Law and Crime,1200,50.0,2015-03-08,2015_10
Social Welfare,1300,50.0,2015-03-08,2015_10
Housing,1400,50.0,2015-03-08,2015_10
Domestic Commerce,1500,50.0,2015-03-08,2015_10
Defense,1600,50.0,2015-03-08,2015_10
Technology,1700,50.0,2015-03-08,2015_10
International Affairs,1900,50.0,2015-03-08,2015_10
Government Operations,2000,50.0,2015-03-08,2015_10
Public Lands,2100,50.0,2015-03-08,2015_10
Macroeconomics,100,50.0,2015-03-15,2015_11
Civil Rights,200,50.0,2015-03-15,2015_11
Health,300,50.0,2015-03-15,2015_11
Agriculture,400,50.0,2015-03-15,2015_11
Labor,500,50.0,2015-03-15,2015_11
Education,600,50.0,2015-03-15,2015_11
Environment,700,50.0,2015-03-15,2015_11
Energy,800,50.0,2015-03-15,2015_11
Transportation,1000,50.0,2015-03-15,2015_11
Law and Crime,1200,50.0,2015-03-15,2015_11
Social Welfare,1300,50.0,2015-03-15,2015_11
Housing,1400,50.0,2015-03-15,2015_11
Domestic Commerce,1500,50.0,2015-03-15,2015_11
Defense,1600,50.0,2015-03-15,2015_11
Technology,1700,50.0,2015-03-15,2015_11
International Affairs,1900,50.0,2015-03-15,2015_11
Government Operations,2000,50.0,2015-03-15,2015_11
Public Lands,2100,50.0,2015-03-15,2015_11
Macroeconomics,100,50.0,2015-03-22,2015_12
Civil Rights,200,50.0,2015-03-22,2015_12
Health,300,50.0,2015-03-22,2015_12
Agriculture,400,50.0,2015-03-22,2015_12
Labor,500,50.0,2015-03-22,2015_12
Education,600,50.0,2015-03-22,2015_12
Environment,700,50.0,2015-03-22,2015_12
Energy,800,50.0,2015-03-22,2015_12
Transportation,1000,50.0,2015-03-22,2015_12
Law and Crime,1200,50.0,2015-03-22,2015_12
Social Welfare,1300,50.0,2015-03-22,2015_12
Housing,1400,50.0,2015-03-22,2015_12
Domestic Commerce,1500,50.0,2015-03-22,2015_12
Defense,1600,50.0,2015-03-22,2015_12
Technology,1700,50.0,2015-03-22,2015_12
International Affairs,1900,50.0,2015-03-22,2015_12
Government Operations,2000,50.0,2015-03-22,2015_12
Public Lands,2100,50.0,2015-03-22,2015_12
Macroeconomics,100,50.0,2015-03-29,2015_13
Civil Rights,200,50.0,2015-03-29,2015_13
Health,300,50.0,2015-03-29,2015_13
Agriculture,400,50.0,2015-03-29,2015_13
Labor,500,50.0,2015-03-29,2015_13
Education,600,50.0,2015-03-29,2015_13
Environment,700,50.0,2015-03-29,2015_13
Energy,800,50.0,2015-03-29,2015_13
Transportation,1000,50.0,2015-03-29,2015_13
Law and Crime,1200,50.0,2015-03-29,2015_13
Social Welfare,1300,50.0,2015-03-29,2015_13
Housing,1400,50.0,2015-03-29,2015_13
Domestic Commerce,1500,50.0,2015-03-29,2015_13
Defense,1600,50.0,2015-03-29,2015_13
Technology,1700,50.0,2015-03-29,2015_13
International Affairs,1900,50.0,2015-03-29,2015_13
Government Operations,2000,50.0,2015-03-29,2015_13
Public Lands,2100,50.0,2015-03-29,2015_13
Macroeconomics,100,50.0,2015-04-05,2015_14
Civil Rights,200,50.0,2015-04-05,2015_14
Health,300,50.0,2015-04-05,2015_14
Agriculture,400,50.0,2015-04-05,2015_14
Labor,500,50.0,2015-04-05,2015_14
Education,600,50.0,2015-04-05,2015_14
Environment,700,50.0,2015-04-05,2015_14
Energy,800,50.0,2015-04-05,2015_14
Transportation,1000,50.0,2015-04-05,2015_14
Law and Crime,1200,50.0,2015-04-05,2015_14
Social Welfare,1300,50.0,2015-04-05,2015_14
Housing,1400,50.0,2015-04-05,2015_14
Domestic Commerce,1500,50.0,2015-04-05,2015_14
Defense,1600,50.0,2015-04-05,2015_14
Technology,1700,50.0,2015-04-05,2015_14
International Affairs,1900,50.0,2015-04-05,2015_14
Government Operations,2000,50.0,2015-04-05,2015_14
Public Lands,2100,50.0,2015-04-05,2015_14
Macroeconomics,100,50.0,2015-04-12,2015_15
Civil Rights,200,50.0,2015-04-12,2015_15
Health,300,50.0,2015-04-12,2015_15
Agriculture,400,50.0,2015-04-12,2015_15
Labor,500,50.0,2015-04-12,2015_15
Education,600,50.0,2015-04-12,2015_15
Environment,700,50.0,2015-04-12,2015_15
Energy,800,50.0,2015-04-12,2015_15
Transportation,1000,50.0,2015-04-12,2015_15
Law and Crime,1200,50.0,2015-04-12,2015_15
Social Welfare,1300,50.0,2015-04-12,2015_15
Housing,1400,50.0,2015-04-12,2015_15
Domestic Commerce,1500,50.0,2015-04-12,2015_15
Defense,1600,50.0,2015-04-12,2015_15
Technology,1700,50.0,2015-04-12,2015_15
International Affairs,1900,50.0,2015-04-12,2015_15
Government Operations,2000,50.0,2015-04-12,2015_15
Public Lands,2100,50.0,2015-04-12,2015_15
Macroeconomics,100,50.0,2015-04-19,2015_16
Civil Rights,200,50.0,2015-04-19,2015_16
Health,300,50.0,2015-04-19,2015_16
Agriculture,400,50.0,2015-04-19,2015_16
Labor,500,50.0,2015-04-19,2015_16
Education,600,50.0,2015-04-19,2015_16
Environment,700,50.0,2015-04-19,2015_16
Energy,800,50.0,2015-04-19,2015_16
Transportation,1000,50.0,2015-04-19,2015_16
Law and Crime,1200,50.0,2015-04-19,2015_16
Social Welfare,1300,50.0,2015-04-19,2015_16
Housing,1400,50.0,2015-04-19,2015_16
Domestic Commerce,1500,50.0,2015-04-19,2015_16
Defense,1600,50.0,2015-04-19,2015_16
Technology,1700,50.0,2015-04-19,2015_16
International Affairs,1900,50.0,2015-04-19,2015_16
Government Operations,2000,50.0,2015-04-19,2015_16
Public Lands,2100,50.0,2015-04-19,2015_16
Macroeconomics,100,50.0,2015-04-26,2015_17
Civil Rights,200,50.0,2015-04-26,2015_17
Health,300,50.0,2015-04-26,2015_17
Agriculture,400,50.0,2015-04-26,2015_17
Labor,500,50.0,2015-04-26,2015_17
Education,600,50.0,2015-04-26,2015_17
Environment,700,50.0,2015-04-26,2015_17
Energy,800,50.0,2015-04-26,2015_17
Transportation,1000,50.0,2015-04-26,2015_17
Law and Crime,1200,50.0,2015-04-26,2015_17
Social Welfare,1300,50.0,2015-04-26,2015_17
Housing,1400,50.0,2015-04-26,2015_17
Domestic Commerce,1500,50.0,2015-04-26,2015_17
Defense,1600,50.0,2015-04-26,2015_17
Technology,1700,50.0,2015-04-26,2015_17
International Affairs,1900,50.0,2015-04-26,2015_17
Government Operations,2000,50.0,2015-04-26,2015_17
Public Lands,2100,50.0,2015-04-26,2015_17
Macroeconomics,100,50.0,2015-05-03,2015_18
Civil Rights,200,50.0,2015-05-03,2015_18
Health,300,50.0,2015-05-03,2015_18
Agriculture,400,50.0,2015-05-03,2015_18
Labor,500,50.0,2015-05-03,2015_18
Education,600,50.0,2015-05-03,2015_18
Environment,700,50.0,2015-05-03,2015_18
Energy,800,50.0,2015-05-03,2015_18
Transportation,1000,50.0,2015-05-03,2015_18
Law and Crime,1200,50.0,2015-05-03,2015_18
Social Welfare,1300,50.0,2015-05-03,2015_18
Housing,1400,50.0,2015-05-03,2015_18
Domestic Commerce,1500,50.0,2015-05-03,2015_18
Defense,1600,50.0,2015-05-03,2015_18
Technology,1700,50.0,2015-05-03,2015_18
International Affairs,1900,50.0,2015-05-03,2015_18
Government Operations,2000,50.0,2015-05-03,2015_18
Public Lands,2100,50.0,2015-05-03,2015_18
Macroeconomics,100,50.0,2015-05-10,2015_19
Civil Rights,200,50.0,2015-05-10,2015_19
Health,300,50.0,2015-05-10,2015_19
Agriculture,400,50.0,2015-05-10,2015_19
Labor,500,50.0,2015-05-10,2015_19
Education,600,50.0,2015-05-10,2015_19
Environment,700,50.0,2015-05-10,2015_19
Energy,800,50.0,2015-05-10,2015_19
Transportation,1000,50.0,2015-05-10,2015_19
Law and Crime,1200,50.0,2015-05-10,2015_19
Social Welfare,1300,50.0,2015-05-10,2015_19
Housing,1400,50.0,2015-05-10,2015_19
Domestic Commerce,1500,50.0,2015-05-10,2015_19
Defense,1600,50.0,2015-05-10,2015_19
Technology,1700,50.0,2015-05-10,2015_19
International Affairs,1900,50.0,2015-05-10,2015_19
Government Operations,2000,50.0,2015-05-10,2015_19
Public Lands,2100,50.0,2015-05-10,2015_19
Macroeconomics,100,50.0,2015-05-17,2015_20
Civil Rights,200,50.0,2015-05-17,2015_20
Health,300,50.0,2015-05-17,2015_20
Agriculture,400,50.0,2015-05-17,2015_20
Labor,500,50.0,2015-05-17,2015_20
Education,600,50.0,2015-05-17,2015_20
Environment,700,50.0,2015-05-17,2015_20
Energy,800,50.0,2015-05-17,2015_20
Transportation,1000,50.0,2015-05-17,2015_20
Law and Crime,1200,50.0,2015-05-17,2015_20
Social Welfare,1300,50.0,2015-05-17,2015_20
Housing,1400,50.0,2015-05-17,2015_20
Domestic Commerce,1500,50.0,2015-05-17,2015_20
Defense,1600,50.0,2015-05-17,2015_20
Technology,1700,50.0,2015-05-17,2015_20
International Affairs,1900,50.0,2015-05-17,2015_20
Government Operations,2000,50.0,2015-05-17,2015_20
Public Lands,2100,50.0,2015-05-17,2015_20
Macroeconomics,100,50.0,2015-05-24,2015_21
Civil Rights,200,50.0,2015-05-24,2015_21
Health,300,50.0,2015-05-24,2015_21
Agriculture,400,50.0,2015-05-24,2015_21
Labor,500,50.0,2015-05-24,2015_21
Education,600,50.0,2015-05-24,2015_21
Environment,700,50.0,2015-05-24,2015_21
Energy,800,50.0,2015-05-24,2015_21
Transportation,1000,50.0,2015-05-24,2015_21
Law and Crime,1200,50.0,2015-05-24,2015_21
Social Welfare,1300,50.0,2015-05-24,2015_21
Housing,1400,50.0,2015-05-24,2015_21
Domestic Commerce,1500,50.0,2015-05-24,2015_21
Defense,1600,50.0,2015-05-24,2015_21
Technology,1700,50.0,2015-05-24,2015_21
International Affairs,1900,50.0,2015-05-24,2015_21
Government Operations,2000,50.0,2015-05-24,2015_21
Public Lands,2100,50.0,2015-05-24,2015_21
Macroeconomics,100,50.0,2015-05-31,2015_22
Civil Rights,200,50.0,2015-05-31,2015_22
Health,300,50.0,2015-05-31,2015_22
Agriculture,400,50.0,2015-05-31,2015_22
Labor,500,50.0,2015-05-31,2015_22
Education,600,50.0,2015-05-31,2015_22
Environment,700,50.0,2015-05-31,2015_22
Energy,800,50.0,2015-05-31,2015_22
Transportation,1000,50.0,2015-05-31,2015_22
Law and Crime,1200,50.0,2015-05-31,2015_22
Social Welfare,1300,50.0,2015-05-31,2015_22
Housing,1400,50.0,2015-05-31,2015_22
Domestic Commerce,1500,50.0,2015-05-31,2015_22
Defense,1600,50.0,2015-05-31,2015_22
Technology,1700,50.0,2015-05-31,2015_22
International Affairs,1900,50.0,2015-05-31,2015_22
Government Operations,2000,50.0,2015-05-31,2015_22
Public Lands,2100,50.0,2015-05-31,2015_22
Macroeconomics,100,50.0,2015-06-07,2015_23
Civil Rights,200,50.0,2015-06-07,2015_23
Health,300,50.0,2015-06-07,2015_23
Agriculture,400,50.0,2015-06-07,2015_23
Labor,500,50.0,2015-06-07,2015_23
Education,600,50.0,2015-06-07,2015_23
Environment,700,50.0,2015-06-07,2015_23
Energy,800,50.0,2015-06-07,2015_23
Transportation,1000,50.0,2015-06-07,2015_23
Law and Crime,1200,50.0,2015-06-07,2015_23
Social Welfare,1300,50.0,2015-06-07,2015_23
Housing,1400,50.0,2015-06-07,2015_23
Domestic Commerce,1500,50.0,2015-06-07,2015_23
Defense,1600,50.0,2015-06-07,2015_23
Technology,1700,50.0,2015-06-07,2015_23
International Affairs,1900,50.0,2015-06-07,2015_23
Government Operations,2000,50.0,2015-06-07,2015_23
Public Lands,2100,50.0,2015-06-07,2015_23
Macroeconomics,100,50.0,2015-06-14,2015_24
Civil Rights,200,50.0,2015-06-14,2015_24
Health,300,50.0,2015-06-14,2015_24
Agriculture,400,50.0,2015-06-14,2015_24
Labor,500,50.0,2015-06-14,2015_24
Education,600,50.0,2015-06-14,2015_24
Environment,700,50.0,2015-06-14,2015_24
Energy,800,50.0,2015-06-14,2015_24
Transportation,1000,50.0,2015-06-14,2015_24
Law and Crime,1200,50.0,2015-06-14,2015_24
Social Welfare,1300,50.0,2015-06-14,2015_24
Housing,1400,50.0,2015-06-14,2015_24
Domestic Commerce,1500,50.0,2015-06-14,2015_24
Defense,1600,50.0,2015-06-14,2015_24
Technology,1700,50.0,2015-06-14,2015_24
International Affairs,1900,50.0,2015-06-14,2015_24
Government Operations,2000,50.0,2015-06-14,2015_24
Public Lands,2100,50.0,2015-06-14,2015_24
Macroeconomics,100,50.0,2015-06-21,2015_25
Civil Rights,200,50.0,2015-06-21,2015_25
Health,300,50.0,2015-06-21,2015_25
Agriculture,400,50.0,2015-06-21,2015_25
Labor,500,50.0,2015-06-21,2015_25
Education,600,50.0,2015-06-21,2015_25
Environment,700,50.0,2015-06-21,2015_25
Energy,800,50.0,2015-06-21,2015_25
Transportation,1000,50.0,2015-06-21,2015_25
Law and Crime,1200,50.0,2015-06-21,2015_25
Social Welfare,1300,50.0,2015-06-21,2015_25
Housing,1400,50.0,2015-06-21,2015_25
Domestic Commerce,1500,50.0,2015-06-21,2015_25
Defense,1600,50.0,2015-06-21,2015_25
Technology,1700,50.0,2015-06-21,2015_25
International Affairs,1900,50.0,2015-06-21,2015_25
Government Operations,2000,50.0,2015-06-21,2015_25
Public Lands,2100,50.0,2015-06-21,2015_25
Macroeconomics,100,50.0,2015-06-28,2015_26
Civil Rights,200,50.0,2015-06-28,2015_26
Health,300,50.0,2015-06-28,2015_26
Agriculture,400,50.0,2015-06-28,2015_26
Labor,500,50.0,2015-06-28,2015_26
Education,600,50.0,2015-06-28,2015_26
Environment,700,50.0,2015-06-28,2015_26
Energy,800,50.0,2015-06-28,2015_26
Transportation,1000,50.0,2015-06-28,2015_26
Law and Crime,1200,50.0,2015-06-28,2015_26
Social Welfare,1300,50.0,2015-06-28,2015_26
Housing,1400,50.0,2015-06-28,2015_26
Domestic Commerce,1500,50.0,2015-06-28,2015_26
Defense,1600,50.0,2015-06-28,2015_26
Technology,1700,50.0,2015-06-28,2015_26
International Affairs,1900,50.0,2015-06-28,2015_26
Government Operations,2000,50.0,2015-06-28,2015_26
Public Lands,2100,50.0,2015-06-28,2015_26
Macroeconomics,100,50.0,2015-07-05,2015_27
Civil Rights,200,50.0,2015-07-05,2015_27
Health,300,50.0,2015-07-05,2015_27
Agriculture,400,50.0,2015-07-05,2015_27
Labor,500,50.0,2015-07-05,2015_27
Education,600,50.0,2015-07-05,2015_27
Environment,700,50.0,2015-07-05,2015_27
Energy,800,50.0,2015-07-05,2015_27
Transportation,1000,50.0,2015-07-05,2015_27
Law and Crime,1200,50.0,2015-07-05,2015_27
Social Welfare,1300,50.0,2015-07-05,2015_27
Housing,1400,50.0,2015-07-05,2015_27
Domestic Commerce,1500,50.0,2015-07-05,2015_27
Defense,1600,50.0,2015-07-05,2015_27
Technology,1700,50.0,2015-07-05,2015_27
International Affairs,1900,50.0,2015-07-05,2015_27
Government Operations,2000,50.0,2015-07-05,2015_27
Public Lands,2100,50.0,2015-07-05,2015_27
Macroeconomics,100,50.0,2015-07-12,2015_28
Civil Rights,200,50.0,2015-07-12,2015_28
Health,300,50.0,2015-07-12,2015_28
Agriculture,400,50.0,2015-07-12,2015_28
Labor,500,50.0,2015-07-12,2015_28
Education,600,50.0,2015-07-12,2015_28
Environment,700,50.0,2015-07-12,2015_28
Energy,800,50.0,2015-07-12,2015_28
Transportation,1000,50.0,2015-07-12,2015_28
Law and Crime,1200,50.0,2015-07-12,2015_28
Social Welfare,1300,50.0,2015-07-12,2015_28
Housing,1400,50.0,2015-07-12,2015_28
Domestic Commerce,1500,50.0,2015-07-12,2015_28
Defense,1600,50.0,2015-07-12,2015_28
Technology,1700,50.0,2015-07-12,2015_28
International Affairs,1900,50.0,2015-07-12,2015_28
Government Operations,2000,50.0,2015-07-12,2015_28
Public Lands,2100,50.0,2015-07-12,2015_28
Macroeconomics,100,50.0,2015-07-19,2015_29
Civil Rights,200,50.0,2015-07-19,2015_29
Health,300,50.0,2015-07-19,2015_29
Agriculture,400,50.0,2015-07-19,2015_29
Labor,500,50.0,2015-07-19,2015_29
Education,600,50.0,2015-07-19,2015_29
Environment,700,50.0,2015-07-19,2015_29
Energy,800,50.0,2015-07-19,2015_29
Transportation,1000,50.0,2015-07-19,2015_29
Law and Crime,1200,50.0,2015-07-19,2015_29
Social Welfare,1300,50.0,2015-07-19,2015_29
Housing,1400,50.0,2015-07-19,2015_29
Domestic Commerce,1500,50.0,2015-07-19,2015_29
Defense,1600,50.0,2015-07-19,2015_29
Technology,1700,50.0,2015-07-19,2015_29
International Affairs,1900,50.0,2015-07-19,2015_29
Government Operations,2000,50.0,2015-07-19,2015_29
Public Lands,2100,50.0,2015-07-19,2015_29
Macroeconomics,100,50.0,2015-07-26,2015_30
Civil Rights,200,50.0,2015-07-26,2015_30
Health,300,50.0,2015-07-26,2015_30
Agriculture,400,50.0,2015-07-26,2015_30
Labor,500,50.0,2015-07-26,2015_30
Education,600,50.0,2015-07-26,2015_30
Environment,700,50.0,2015-07-26,2015_30
Energy,800,50.0,2015-07-26,2015_30
Transportation,1000,50.0,2015-07-26,2015_30
Law and Crime,1200,50.0,2015-07-26,2015_30
Social Welfare,1300,50.0,2015-07-26,2015_30
Housing,1400,50.0,2015-07-26,2015_30
Domestic Commerce,1500,50.0,2015-07-26,2015_30
Defense,1600,50.0,2015-07-26,2015_30
Technology,1700,50.0,2015-07-26,2015_30
International Affairs,1900,50.0,2015-07-26,2015_30
Government Operations,2000,50.0,2015-07-26,2015_30
Public Lands,2100,50.0,2015-07-26,2015_30
Macroeconomics,100,50.0,2015-08-02,2015_31
Civil Rights,200,50.0,2015-08-02,2015_31
Health,300,50.0,2015-08-02,2015_31
Agriculture,400,50.0,2015-08-02,2015_31
Labor,500,50.0,2015-08-02,2015_31
Education,600,50.0,2015-08-02,2015_31
Environment,700,50.0,2015-08-02,2015_31
Energy,800,50.0,2015-08-02,2015_31
Transportation,1000,50.0,2015-08-02,2015_31
Law and Crime,1200,50.0,2015-08-02,2015_31
Social Welfare,1300,50.0,2015-08-02,2015_31
Housing,1400,50.0,2015-08-02,2015_31
Domestic Commerce,1500,50.0,2015-08-02,2015_31
Defense,1600,50.0,2015-08-02,2015_31
Technology,1700,50.0,2015-08-02,2015_31
International Affairs,1900,50.0,2015-08-02,2015_31
Government Operations,2000,50.0,2015-08-02,2015_31
Public Lands,2100,50.0,2015-08-02,2015_31
Macroeconomics,100,50.0,2015-08-09,2015_32
Civil Rights,200,50.0,2015-08-09,2015_32
Health,300,50.0,2015-08-09,2015_32
Agriculture,400,50.0,2015-08-09,2015_32
Labor,500,50.0,2015-08-09,2015_32
Education,600,50.0,2015-08-09,2015_32
Environment,700,50.0,2015-08-09,2015_32
Energy,800,50.0,2015-08-09,2015_32
Transportation,1000,50.0,2015-08-09,2015_32
Law and Crime,1200,50.0,2015-08-09,2015_32
Social Welfare,1300,50.0,2015-08-09,2015_32
Housing,1400,50.0,2015-08-09,2015_32
Domestic Commerce,1500,50.0,2015-08-09,2015_32
Defense,1600,50.0,2015-08-09,2015_32
Technology,1700,50.0,2015-08-09,2015_32
International Affairs,1900,50.0,2015-08-09,2015_32
Government Operations,2000,50.0,2015-08-09,2015_32
Public Lands,2100,50.0,2015-08-09,2015_32
Macroeconomics,100,50.0,2015-08-16,2015_33
Civil Rights,200,50.0,2015-08-16,2015_33
Health,300,50.0,2015-08-16,2015_33
Agriculture,400,50.0,2015-08-16,2015_33
Labor,500,50.0,2015-08-16,2015_33
Education,600,50.0,2015-08-16,2015_33
Environment,700,50.0,2015-08-16,2015_33
