bioguide_id,first_name,last_name,congress,chamber,party,state,district,terms_served_before,terms_served_total,years_in_congress,first_term_start,up_for_reelection,senate_class,gender,birthday
B001257,Gus,Bilirakis,114,house,Republican,FL,12,4,4,8.0,2007-01-04,1,,M,1963-02-08
B000490,Sanford,Bishop,114,house,Democrat,GA,2,11,11,22.0,1993-01-05,1,,M,1947-02-04
B001293,Mike,Bishop,114,house,Republican,MI,8,0,0,0.0,2015-01-06,1,,M,1967-03-18
B001250,Rob,Bishop,114,house,Republican,UT,1,6,6,12.0,2003-01-07,1,,M,1951-07-13
B001273,Diane,Black,114,house,Republican,TN,6,2,2,4.0,2011-01-05,1,,F,1951-01-16
B001243,Marsha,Blackburn,114,house,Republican,TN,7,6,6,12.0,2003-01-07,1,,F,1952-06-06
B001294,Rod,Blum,114,house,Republican,IA,1,0,0,0.0,2015-01-06,1,,M,1955-04-26
B000574,Earl,Blumenauer,114,house,Democrat,OR,3,10,10,18.6,1996-05-21,1,,M,1948-08-16
B000589,John,Boehner,114,house,Republican,OH,8,12,12,24.0,1991-01-03,1,,M,1949-11-17
B001278,Suzanne,Bonamici,114,house,Democrat,OR,1,2,2,2.9,2012-02-07,1,,F,1954-10-14
B001245,Madeleine,Bordallo,114,house,Democrat,GU,0,6,6,12.0,2003-01-07,1,,F,1933-05-31
B001295,Mike,Bost,114,house,Republican,IL,12,0,0,0.0,2015-01-06,1,,M,1960-12-30
B001255,Charles,Boustany,114,house,Republican,LA,3,5,5,10.0,2005-01-04,1,,M,1956-02-21
B001296,Brendan,Boyle,114,house,Democrat,PA,13,0,0,0.0,2015-01-06,1,,M,1977-02-06
B001227,Robert,Brady,114,house,Democrat,PA,1,9,9,16.6,1998-05-19,1,,M,1945-04-07
B000755,Kevin,Brady,114,house,Republican,TX,8,9,9,18.0,1997-01-07,1,,M,1955-04-11
B001290,David,Brat,114,house,Republican,VA,7,1,1,0.2,2014-11-12,1,,M,1964-07-27
B001283,Jim,Bridenstine,114,house,Republican,OK,1,1,1,2.0,2013-01-03,1,,M,1975-06-15
B001284,Susan,Brooks,114,house,Republican,IN,5,1,1,2.0,2013-01-03,1,,F,1960-08-25
B001274,Mo,Brooks,114,house,Republican,AL,5,2,2,4.0,2011-01-05,1,,M,1954-04-29
B000911,Corrine,Brown,114,house,Democrat,FL,5,11,11,22.0,1993-01-05,1,,F,1946-11-11
B001285,Julia,Brownley,114,house,Democrat,CA,26,1,1,2.0,2013-01-03,1,,F,1952-08-28
B001260,Vern,Buchanan,114,house,Republican,FL,16,4,4,8.0,2007-01-04,1,,M,1951-05-08
B001297,Ken,Buck,114,house,Republican,CO,4,0,0,0.0,2015-01-06,1,,M,1959-02-16
B001275,Larry,Bucshon,114,house,Republican,IN,8,2,2,4.0,2011-01-05,1,,M,1962-05-31
B001248,Michael,Burgess,114,house,Republican,TX,26,6,6,12.0,2003-01-07,1,,M,1950-12-23
B001286,Cheri,Bustos,114,house,Democrat,IL,17,1,1,2.0,2013-01-03,1,,F,1961-10-17
B001251,George,Butterfield,114,house,Democrat,NC,1,6,6,10.5,2004-07-21,1,,M,1947-04-27
B001289,Bradley,Byrne,114,house,Republican,AL,1,1,1,1.0,2014-01-08,1,,M,1955-02-16
C000059,Ken,Calvert,114,house,Republican,CA,42,11,11,22.0,1993-01-05,1,,M,1953-06-08
C001036,Lois,Capps,114,house,Democrat,CA,24,9,9,16.8,1998-03-10,1,,F,1938-01-10
C001037,Michael,Capuano,114,house,Democrat,MA,7,8,8,16.0,1999-01-06,1,,M,1952-01-09
C001083,John,Carney,114,house,Democrat,DE,0,2,2,4.0,2011-01-05,1,,M,1956-05-20
C001072,André,Carson,114,house,Democrat,IN,7,4,4,6.8,2008-03-13,1,,M,1974-10-16
C001051,John,Carter,114,house,Republican,TX,31,6,6,12.0,2003-01-07,1,,M,1941-11-06
C001103,Earl,Carter,114,house,Republican,GA,1,0,0,0.0,2015-01-06,1,,M,1957-09-06
C001090,Matthew,Cartwright,114,house,Democrat,PA,17,1,1,2.0,2013-01-03,1,,M,1961-05-01
C001066,Kathy,Castor,114,house,Democrat,FL,14,4,4,8.0,2007-01-04,1,,F,1966-08-20
C001091,Joaquin,Castro,114,house,Democrat,TX,20,1,1,2.0,2013-01-03,1,,M,1974-09-16
C000266,Steve,Chabot,114,house,Republican,OH,1,9,9,20.0,1995-01-04,1,,M,1953-01-22
C001076,Jason,Chaffetz,114,house,Republican,UT,3,3,3,6.0,2009-01-06,1,,M,1967-03-26
C001080,Judy,Chu,114,house,Democrat,CA,27,3,3,5.5,2009-07-16,1,,F,1953-07-07
C001084,David,Cicilline,114,house,Democrat,RI,1,2,2,4.0,2011-01-05,1,,M,1961-07-15
C001101,Katherine,Clark,114,house,Democrat,MA,5,1,1,1.1,2013-12-12,1,,F,1963-07-17
C001067,Yvette,Clarke,114,house,Democrat,NY,9,4,4,8.0,2007-01-04,1,,F,1964-11-21
C001102,Curtis,Clawson,114,house,Republican,FL,19,1,1,0.5,2014-06-24,1,,M,1959-09-28
C001049,Wm.,Clay,114,house,Democrat,MO,1,7,7,14.0,2001-01-03,1,,M,1956-07-27
C001061,Emanuel,Cleaver,114,house,Democrat,MO,5,5,5,10.0,2005-01-04,1,,M,1944-10-26
C000537,James,Clyburn,114,house,Democrat,SC,6,11,11,22.0,1993-01-05,1,,M,1940-07-21
C001077,Mike,Coffman,114,house,Republican,CO,6,3,3,6.0,2009-01-06,1,,M,1955-03-19
C001068,Steve,Cohen,114,house,Democrat,TN,9,4,4,8.0,2007-01-04,1,,M,1949-05-24
C001053,Tom,Cole,114,house,Republican,OK,4,6,6,12.0,2003-01-07,1,,M,1949-04-28
C001092,Chris,Collins,114,house,Republican,NY,27,1,1,2.0,2013-01-03,1,,M,1950-05-20
C001093,Doug,Collins,114,house,Republican,GA,9,1,1,2.0,2013-01-03,1,,M,1966-08-16
C001108,James,Comer,114,house,Republican,KY,1,0,0,-1.9,2016-11-14,1,,M,1972-08-19
C001105,Barbara,Comstock,114,house,Republican,VA,10,0,0,0.0,2015-01-06,1,,F,1959-06-30
C001062,K.,Conaway,114,house,Republican,TX,11,5,5,10.0,2005-01-04,1,,M,1948-06-11
C001078,Gerald,Connolly,114,house,Democrat,VA,11,3,3,6.0,2009-01-06,1,,M,1950-03-30
C000714,John,Conyers,114,house,Democrat,MI,13,25,25,50.0,1965-01-04,1,,M,1929-05-16
C001094,Paul,Cook,114,house,Republican,CA,8,1,1,2.0,2013-01-03,1,,M,1943-03-03
C000754,Jim,Cooper,114,house,Democrat,TN,5,12,12,32.0,1983-01-03,1,,M,1954-06-19
C001059,Jim,Costa,114,house,Democrat,CA,16,5,5,10.0,2005-01-04,1,,M,1952-04-13
C001106,Ryan,Costello,114,house,Republican,PA,6,0,0,0.0,2015-01-06,1,,M,1976-09-07
C001069,Joe,Courtney,114,house,Democrat,CT,2,4,4,8.0,2007-01-04,1,,M,1953-04-06
C001096,Kevin,Cramer,114,house,Republican,ND,0,1,1,2.0,2013-01-03,1,,M,1961-01-21
C001087,Eric,Crawford,114,house,Republican,AR,1,2,2,4.0,2011-01-05,1,,M,1966-01-22
C001045,Ander,Crenshaw,114,house,Republican,FL,4,7,7,14.0,2001-01-03,1,,M,1944-09-01
C001038,Joseph,Crowley,114,house,Democrat,NY,14,8,8,16.0,1999-01-06,1,,M,1962-03-16
C001063,Henry,Cuellar,114,house,Democrat,TX,28,5,5,10.0,2005-01-04,1,,M,1955-09-19
C001048,John,Culberson,114,house,Republican,TX,7,7,7,14.0,2001-01-03,1,,M,1956-08-24
C000984,Elijah,Cummings,114,house,Democrat,MD,7,10,10,18.7,1996-04-16,1,,M,1951-01-18
C001107,Carlos,Curbelo,114,house,Republican,FL,26,0,0,0.0,2015-01-06,1,,M,1980-03-01
C001097,Tony,Cárdenas,114,house,Democrat,CA,29,1,1,2.0,2013-01-03,1,,M,1963-03-31
D000626,Warren,Davidson,114,house,Republican,OH,8,0,0,-1.4,2016-06-09,1,,M,1970-03-01
D000096,Danny,Davis,114,house,Democrat,IL,7,9,9,18.0,1997-01-07,1,,M,1941-09-06
D000598,Susan,Davis,114,house,Democrat,CA,53,7,7,14.0,2001-01-03,1,,F,1944-04-13
D000619,Rodney,Davis,114,house,Republican,IL,13,1,1,2.0,2013-01-03,1,,M,1970-01-05
D000191,Peter,DeFazio,114,house,Democrat,OR,4,14,14,28.0,1987-01-06,1,,M,1947-05-27
D000197,Diana,DeGette,114,house,Democrat,CO,1,9,9,18.0,1997-01-07,1,,F,1957-07-29
D000216,Rosa,DeLauro,114,house,Democrat,CT,3,12,12,24.0,1991-01-03,1,,F,1943-03-02
D000621,Ron,DeSantis,114,house,Republican,FL,6,1,1,2.0,2013-01-03,1,,M,1978-09-14
D000623,Mark,DeSaulnier,114,house,Democrat,CA,11,0,0,0.0,2015-01-06,1,,M,1952-03-31
D000617,Suzan,DelBene,114,house,Democrat,WA,1,2,2,2.1,2012-11-13,1,,F,1962-02-17
D000620,John,Delaney,114,house,Democrat,MD,6,1,1,2.0,2013-01-03,1,,M,1963-04-16
D000612,Jeff,Denham,114,house,Republican,CA,10,2,2,4.0,2011-01-05,1,,M,1967-07-29
D000604,Charles,Dent,114,house,Republican,PA,15,5,5,10.0,2005-01-04,1,,M,1960-05-24
D000616,Scott,DesJarlais,114,house,Republican,TN,4,2,2,4.0,2011-01-05,1,,M,1964-02-21
D000610,Theodore,Deutch,114,house,Democrat,FL,21,3,3,4.7,2010-04-15,1,,M,1966-05-07
D000600,Mario,Diaz-Balart,114,house,Republican,FL,25,6,6,12.0,2003-01-07,1,,M,1961-09-25
D000624,Debbie,Dingell,114,house,Democrat,MI,12,0,0,0.0,2015-01-06,1,,F,1953-11-23
D000399,Lloyd,Doggett,114,house,Democrat,TX,35,10,10,20.0,1995-01-04,1,,M,1946-10-06
D000613,Bob,Dold,114,house,Republican,IL,10,1,1,4.0,2011-01-05,1,,M,1969-06-23
D000625,Daniel,Donovan,114,house,Republican,NY,11,0,0,-0.3,2015-05-12,1,,M,1956-11-06
D000482,Michael,Doyle,114,house,Democrat,PA,14,10,10,20.0,1995-01-04,1,,M,1953-08-05
D000622,Tammy,Duckworth,114,house,Democrat,IL,8,1,1,2.0,2013-01-03,1,,F,1968-03-12
D000614,Sean,Duffy,114,house,Republican,WI,7,2,2,4.0,2011-01-05,1,,M,1971-10-03
D000533,John,Duncan,114,house,Republican,TN,2,14,14,26.2,1988-11-08,1,,M,1947-07-21
D000615,Jeff,Duncan,114,house,Republican,SC,3,2,2,4.0,2011-01-05,1,,M,1966-01-07
E000290,Donna,Edwards,114,house,Democrat,MD,4,4,4,6.5,2008-06-19,1,,F,1958-06-28
E000288,Keith,Ellison,114,house,Democrat,MN,5,4,4,8.0,2007-01-04,1,,M,1963-08-04
E000291,Renee,Ellmers,114,house,Republican,NC,2,2,2,4.0,2011-01-05,1,,F,1964-02-09
E000294,Tom,Emmer,114,house,Republican,MN,6,0,0,0.0,2015-01-06,1,,M,1961-03-03
E000179,Eliot,Engel,114,house,Democrat,NY,16,13,13,26.0,1989-01-03,1,,M,1947-02-18
E000215,Anna,Eshoo,114,house,Democrat,CA,18,11,11,22.0,1993-01-05,1,,F,1942-12-13
E000293,Elizabeth,Esty,114,house,Democrat,CT,5,1,1,2.0,2013-01-03,1,,F,1959-08-25
E000296,Dwight,Evans,114,house,Democrat,PA,2,0,0,-1.9,2016-11-14,1,,M,1954-05-16
F000460,Blake,Farenthold,114,house,Republican,TX,27,2,2,4.0,2011-01-05,1,,M,1961-12-12
F000030,Sam,Farr,114,house,Democrat,CA,20,11,11,21.6,1993-06-08,1,,M,1941-07-04
F000043,Chaka,Fattah,114,house,Democrat,PA,2,10,10,20.0,1995-01-04,1,,M,1956-11-21
F000458,Stephen,Fincher,114,house,Republican,TN,8,2,2,4.0,2011-01-05,1,,M,1973-02-07
F000451,Michael,Fitzpatrick,114,house,Republican,PA,8,3,3,10.0,2005-01-04,1,,M,1963-06-28
F000459,Charles,Fleischmann,114,house,Republican,TN,3,2,2,4.0,2011-01-05,1,,M,1962-10-11
F000456,John,Fleming,114,house,Republican,LA,4,3,3,6.0,2009-01-06,1,,M,1951-07-05
F000461,Bill,Flores,114,house,Republican,TX,17,2,2,4.0,2011-01-05,1,,M,1954-02-25
F000445,J.,Forbes,114,house,Republican,VA,4,7,7,13.5,2001-06-26,1,,M,1952-02-17
F000449,Jeff,Fortenberry,114,house,Republican,NE,1,5,5,10.0,2005-01-04,1,,M,1960-12-27
F000454,Bill,Foster,114,house,Democrat,IL,11,3,3,6.8,2008-03-08,1,,M,1955-10-07
F000450,Virginia,Foxx,114,house,Republican,NC,5,5,5,10.0,2005-01-04,1,,F,1943-06-29
F000462,Lois,Frankel,114,house,Democrat,FL,22,1,1,2.0,2013-01-03,1,,F,1948-05-16
F000448,Trent,Franks,114,house,Republican,AZ,8,6,6,12.0,2003-01-07,1,,M,1957-06-19
F000372,Rodney,Frelinghuysen,114,house,Republican,NJ,11,10,10,20.0,1995-01-04,1,,M,1946-04-29
F000455,Marcia,Fudge,114,house,Democrat,OH,11,4,4,6.1,2008-11-19,1,,F,1952-10-29
G000571,Tulsi,Gabbard,114,house,Democrat,HI,2,1,1,2.0,2013-01-03,1,,F,1981-04-12
G000574,Ruben,Gallego,114,house,Democrat,AZ,7,0,0,0.0,2015-01-06,1,,M,1979-11-20
G000559,John,Garamendi,114,house,Democrat,CA,3,3,3,5.2,2009-11-03,1,,M,1945-01-24
G000548,Scott,Garrett,114,house,Republican,NJ,5,6,6,12.0,2003-01-07,1,,M,1959-07-09
G000563,Bob,Gibbs,114,house,Republican,OH,7,2,2,4.0,2011-01-05,1,,M,1954-06-14
G000564,Christopher,Gibson,114,house,Republican,NY,19,2,2,4.0,2011-01-05,1,,M,1964-05-13
G000552,Louie,Gohmert,114,house,Republican,TX,1,5,5,10.0,2005-01-04,1,,M,1953-08-18
G000289,Bob,Goodlatte,114,house,Republican,VA,6,11,11,22.0,1993-01-05,1,,M,1952-09-22
G000565,Paul,Gosar,114,house,Republican,AZ,4,2,2,4.0,2011-01-05,1,,M,1958-11-22
G000566,Trey,Gowdy,114,house,Republican,SC,4,2,2,4.0,2011-01-05,1,,M,1964-08-22
G000575,Gwen,Graham,114,house,Democrat,FL,2,0,0,0.0,2015-01-06,1,,F,1963-01-31
G000377,Kay,Granger,114,house,Republican,TX,12,9,9,18.0,1997-01-07,1,,F,1943-01-18
G000546,Sam,Graves,114,house,Republican,MO,6,7,7,14.0,2001-01-03,1,,M,1963-11-07
G000560,Tom,Graves,114,house,Republican,GA,14,3,3,4.6,2010-06-08,1,,M,1970-02-03
G000577,Garret,Graves,114,house,Republican,LA,6,0,0,0.0,2015-01-06,1,,M,1972-01-31
G000556,Alan,Grayson,114,house,Democrat,FL,9,2,2,6.0,2009-01-06,1,,M,1958-03-13
G000553,Al,Green,114,house,Democrat,TX,9,5,5,10.0,2005-01-04,1,,M,1947-09-01
G000410,Gene,Green,114,house,Democrat,TX,29,11,11,22.0,1993-01-05,1,,M,1947-10-17
G000568,H.,Griffith,114,house,Republican,VA,9,2,2,4.0,2011-01-05,1,,M,1958-03-15
G000551,Raúl,Grijalva,114,house,Democrat,AZ,3,6,6,12.0,2003-01-07,1,,M,1948-02-19
G000576,Glenn,Grothman,114,house,Republican,WI,6,0,0,0.0,2015-01-06,1,,M,1955-07-03
G000570,Frank,Guinta,114,house,Republican,NH,1,1,1,4.0,2011-01-05,1,,M,1970-09-26
G000558,Brett,Guthrie,114,house,Republican,KY,2,3,3,6.0,2009-01-06,1,,M,1964-02-18
G000535,Luis,Gutiérrez,114,house,Democrat,IL,4,11,11,22.0,1993-01-05,1,,M,1953-12-10
H001063,Janice,Hahn,114,house,Democrat,CA,44,2,2,3.5,2011-07-19,1,,F,1952-03-30
H001050,Colleen,Hanabusa,114,house,Democrat,HI,1,2,2,4.0,2011-01-05,1,,F,1951-05-04
H001051,Richard,Hanna,114,house,Republican,NY,22,2,2,4.0,2011-01-05,1,,M,1951-01-25
H001070,Cresent,Hardy,114,house,Republican,NV,4,0,0,0.0,2015-01-06,1,,M,1957-06-23
H001045,Gregg,Harper,114,house,Republican,MS,3,3,3,6.0,2009-01-06,1,,M,1956-06-01
H001052,Andy,Harris,114,house,Republican,MD,1,2,2,4.0,2011-01-05,1,,M,1957-01-25
H001053,Vicky,Hartzler,114,house,Republican,MO,4,2,2,4.0,2011-01-05,1,,F,1960-10-13
H000324,Alcee,Hastings,114,house,Democrat,FL,20,11,11,22.0,1993-01-05,1,,M,1936-09-05
H001055,Joseph,Heck,114,house,Republican,NV,3,2,2,4.0,2011-01-05,1,,M,1961-10-30
H001064,Denny,Heck,114,house,Democrat,WA,10,1,1,2.0,2013-01-03,1,,M,1952-07-29
H001036,Jeb,Hensarling,114,house,Republican,TX,5,6,6,12.0,2003-01-07,1,,M,1957-05-29
H001056,Jaime,Herrera Beutler,114,house,Republican,WA,3,2,2,4.0,2011-01-05,1,,F,1978-11-03
H001071,Jody,Hice,114,house,Republican,GA,10,0,0,0.0,2015-01-06,1,,M,1960-04-22
H001038,Brian,Higgins,114,house,Democrat,NY,26,5,5,10.0,2005-01-04,1,,M,1959-10-06
H001072,J.,Hill,114,house,Republican,AR,2,0,0,0.0,2015-01-06,1,,M,1956-12-05
H001047,James,Himes,114,house,Democrat,CT,4,3,3,6.0,2009-01-06,1,,M,1966-07-05
H000636,Rubén,Hinojosa,114,house,Democrat,TX,15,9,9,18.0,1997-01-07,1,,M,1940-08-20
H001065,George,Holding,114,house,Republican,NC,13,1,1,2.0,2013-01-03,1,,M,1968-04-17
H001034,Michael,Honda,114,house,Democrat,CA,17,7,7,14.0,2001-01-03,1,,M,1941-06-27
H000874,Steny,Hoyer,114,house,Democrat,MD,5,17,17,34.0,1981-01-05,1,,M,1939-06-14
H001067,Richard,Hudson,114,house,Republican,NC,8,1,1,2.0,2013-01-03,1,,M,1971-11-04
H001057,Tim,Huelskamp,114,house,Republican,KS,1,2,2,4.0,2011-01-05,1,,M,1968-11-11
H001068,Jared,Huffman,114,house,Democrat,CA,2,1,1,2.0,2013-01-03,1,,M,1964-02-18
H001058,Bill,Huizenga,114,house,Republican,MI,2,2,2,4.0,2011-01-05,1,,M,1969-01-31
H001059,Randy,Hultgren,114,house,Republican,IL,14,2,2,4.0,2011-01-05,1,,M,1966-03-01
H001048,Duncan,Hunter,114,house,Republican,CA,50,3,3,6.0,2009-01-06,1,,M,1976-12-07
H001073,Will,Hurd,114,house,Republican,TX,23,0,0,0.0,2015-01-06,1,,M,1977-08-19
H001060,Robert,Hurt,114,house,Republican,VA,5,2,2,4.0,2011-01-05,1,,M,1969-06-16
I000057,Steve,Israel,114,house,Democrat,NY,3,7,7,14.0,2001-01-03,1,,M,1958-05-30
I000056,Darrell,Issa,114,house,Republican,CA,49,7,7,14.0,2001-01-03,1,,M,1953-11-01
J000032,Sheila,Jackson Lee,114,house,Democrat,TX,18,10,10,20.0,1995-01-04,1,,F,1950-01-12
J000294,Hakeem,Jeffries,114,house,Democrat,NY,8,1,1,2.0,2013-01-03,1,,M,1970-08-04
J000297,Evan,Jenkins,114,house,Republican,WV,3,0,0,0.0,2015-01-06,1,,M,1960-09-12
J000290,Lynn,Jenkins,114,house,Republican,KS,2,3,3,6.0,2009-01-06,1,,F,1963-06-10
J000288,Henry,Johnson,114,house,Democrat,GA,4,4,4,8.0,2007-01-04,1,,M,1954-10-02
J000174,Sam,Johnson,114,house,Republican,TX,3,12,12,24.0,1991-01-03,1,,M,1930-10-11
J000126,Eddie,Johnson,114,house,Democrat,TX,30,11,11,22.0,1993-01-05,1,,F,1935-12-03
J000292,Bill,Johnson,114,house,Republican,OH,6,2,2,4.0,2011-01-05,1,,M,1954-11-10
J000296,David,Jolly,114,house,Republican,FL,13,1,1,0.8,2014-03-11,1,,M,1972-10-31
J000255,Walter,Jones,114,house,Republican,NC,3,10,10,20.0,1995-01-04,1,,M,1943-02-10
J000289,Jim,Jordan,114,house,Republican,OH,4,4,4,8.0,2007-01-04,1,,M,1964-02-17
J000295,David,Joyce,114,house,Republican,OH,14,1,1,2.0,2013-01-03,1,,M,1957-03-17
K000009,Marcy,Kaptur,114,house,Democrat,OH,9,16,16,32.0,1983-01-03,1,,F,1946-06-17
K000386,John,Katko,114,house,Republican,NY,24,0,0,0.0,2015-01-06,1,,M,1962-11-09
K000375,William,Keating,114,house,Democrat,MA,9,2,2,4.0,2011-01-05,1,,M,1952-09-06
K000376,Mike,Kelly,114,house,Republican,PA,3,2,2,4.0,2011-01-05,1,,M,1948-05-10
K000385,Robin,Kelly,114,house,Democrat,IL,2,1,1,1.7,2013-04-09,1,,F,1956-04-30
K000388,Trent,Kelly,114,house,Republican,MS,1,0,0,-0.4,2015-06-09,1,,M,1966-03-01
K000379,Joseph,Kennedy,114,house,Democrat,MA,4,1,1,2.0,2013-01-03,1,,M,1980-10-04
K000380,Daniel,Kildee,114,house,Democrat,MI,5,1,1,2.0,2013-01-03,1,,M,1958-08-11
K000381,Derek,Kilmer,114,house,Democrat,WA,6,1,1,2.0,2013-01-03,1,,M,1974-01-01
K000188,Ron,Kind,114,house,Democrat,WI,3,9,9,18.0,1997-01-07,1,,M,1963-03-16
K000210,Peter,King,114,house,Republican,NY,2,11,11,22.0,1993-01-05,1,,M,1944-04-05
K000362,Steve,King,114,house,Republican,IA,4,6,6,12.0,2003-01-07,1,,M,1949-05-28
K000378,Adam,Kinzinger,114,house,Republican,IL,16,2,2,4.0,2011-01-05,1,,M,1978-02-27
K000368,Ann,Kirkpatrick,114,house,Democrat,AZ,1,2,2,6.0,2009-01-06,1,,F,1950-03-24
K000363,John,Kline,114,house,Republican,MN,2,6,6,12.0,2003-01-07,1,,M,1947-09-06
K000387,Steve,Knight,114,house,Republican,CA,25,0,0,0.0,2015-01-06,1,,M,1966-12-17
K000382,Ann,Kuster,114,house,Democrat,NH,2,1,1,2.0,2013-01-03,1,,F,1956-09-05
L000585,Darin,LaHood,114,house,Republican,IL,18,0,0,-0.7,2015-09-17,1,,M,1968-07-05
L000578,Doug,LaMalfa,114,house,Republican,CA,1,1,1,2.0,2013-01-03,1,,M,1960-07-02
L000573,Raúl,Labrador,114,house,Republican,ID,1,2,2,4.0,2011-01-05,1,,M,1967-12-08
L000564,Doug,Lamborn,114,house,Republican,CO,5,4,4,8.0,2007-01-04,1,,M,1954-05-24
L000567,Leonard,Lance,114,house,Republican,NJ,7,3,3,6.0,2009-01-06,1,,M,1952-06-25
L000559,James,Langevin,114,house,Democrat,RI,2,7,7,14.0,2001-01-03,1,,M,1964-04-22
L000560,Rick,Larsen,114,house,Democrat,WA,2,7,7,14.0,2001-01-03,1,,M,1965-06-15
L000557,John,Larson,114,house,Democrat,CT,1,8,8,16.0,1999-01-06,1,,M,1948-07-22
L000566,Robert,Latta,114,house,Republican,OH,5,4,4,7.1,2007-12-13,1,,M,1956-04-18
L000581,Brenda,Lawrence,114,house,Democrat,MI,14,0,0,0.0,2015-01-06,1,,F,1954-10-18
L000551,Barbara,Lee,114,house,Democrat,CA,13,9,9,16.8,1998-04-07,1,,F,1946-07-16
L000263,Sander,Levin,114,house,Democrat,MI,9,16,16,32.0,1983-01-03,1,,M,1931-09-06
L000287,John,Lewis,114,house,Democrat,GA,5,14,14,28.0,1987-01-06,1,,M,1940-02-21
L000582,Ted,Lieu,114,house,Democrat,CA,33,0,0,0.0,2015-01-06,1,,M,1969-03-29
L000563,Daniel,Lipinski,114,house,Democrat,IL,3,5,5,10.0,2005-01-04,1,,M,1966-07-15
L000554,Frank,LoBiondo,114,house,Republican,NJ,2,10,10,20.0,1995-01-04,1,,M,1946-05-12
L000565,David,Loebsack,114,house,Democrat,IA,2,4,4,8.0,2007-01-04,1,,M,1952-12-23
L000397,Zoe,Lofgren,114,house,Democrat,CA,19,10,10,20.0,1995-01-04,1,,F,1947-12-21
L000576,Billy,Long,114,house,Republican,MO,7,2,2,4.0,2011-01-05,1,,M,1955-08-11
L000583,Barry,Loudermilk,114,house,Republican,GA,11,0,0,0.0,2015-01-06,1,,M,1963-12-22
L000584,Mia,Love,114,house,Republican,UT,4,0,0,0.0,2015-01-06,1,,F,1975-12-06
L000579,Alan,Lowenthal,114,house,Democrat,CA,47,1,1,2.0,2013-01-03,1,,M,1941-03-08
L000480,Nita,Lowey,114,house,Democrat,NY,17,13,13,26.0,1989-01-03,1,,F,1937-07-05
L000491,Frank,Lucas,114,house,Republican,OK,3,11,11,21.7,1993-05-10,1,,M,1960-01-06
L000569,Blaine,Luetkemeyer,114,house,Republican,MO,3,3,3,6.0,2009-01-06,1,,M,1952-05-07
L000580,Michelle,Lujan Grisham,114,house,Democrat,NM,1,1,1,2.0,2013-01-03,1,,F,1959-10-24
L000570,Ben,Luján,114,house,Democrat,NM,3,3,3,6.0,2009-01-06,1,,M,1972-06-07
L000571,Cynthia,Lummis,114,house,Republican,WY,0,3,3,6.0,2009-01-06,1,,F,1954-09-10
L000562,Stephen,Lynch,114,house,Democrat,MA,8,7,7,13.2,2001-10-23,1,,M,1955-03-31
M001193,Tom,MacArthur,114,house,Republican,NJ,3,0,0,0.0,2015-01-06,1,,M,1960-10-16
M000087,Carolyn,Maloney,114,house,Democrat,NY,12,11,11,22.0,1993-01-05,1,,F,1946-02-19
M001185,Sean,Maloney,114,house,Democrat,NY,18,1,1,2.0,2013-01-03,1,,M,1966-07-30
M001158,Kenny,Marchant,114,house,Republican,TX,24,5,5,10.0,2005-01-04,1,,M,1951-02-23
M001179,Tom,Marino,114,house,Republican,PA,10,2,2,4.0,2011-01-05,1,,M,1952-08-15
