bioguide_id,committee_name,policy_area
B000755,Committee on House Administration,Government Operations
B000755,Committee on Small Business,Domestic Commerce
B000755,Joint Committee on Taxation,Macroeconomics
B000755,Committee on Appropriations,Macroeconomics
B000755,Committee on Finance,Macroeconomics
B000755,Committee on Rules,Government Operations
B000755,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B000755,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000755,Permanent Select Committee on Intelligence,Defense
B000755,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
B000755,"Committee on Banking, Housing, and Urban Affairs",Housing
B000755,Committee on Commerce,Domestic Commerce
B000755,Committee on Science,Technology
B000755,Committee on Homeland Security and Governmental Affairs,Government Operations
B000755,Committee on Education and Labor,Education
B000755,"Committee on Health, Education, Labor, and Pensions",Health
B000911,Committee on Veterans' Affairs,Social Welfare
B000911,Committee on Rules,Government Operations
B000911,Committee on Education and the Workforce,Education
B000911,Committee on Financial Services,Domestic Commerce
B000911,Committee on Appropriations,Macroeconomics
B000911,Committee on Foreign Affairs,International Affairs
B000911,Committee on Oversight and Government Reform,Government Operations
B000911,Committee on the Budget,Macroeconomics
B000911,Committee on Energy and Commerce,Energy
B000911,Committee on Transportation and Infrastructure,Transportation
B000911,Committee on Commerce,Domestic Commerce
B000911,Committee on Science,Technology
B000911,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000911,Committee on Ways and Means,Macroeconomics
B000911,Committee on Public Works,
B000911,"Committee on Banking, Housing, and Urban Affairs",Housing
B000911,House Permanent Select Committee on Intelligence,Defense
B000911,Committee on Homeland Security and Governmental Affairs,Government Operations
B000911,Committee on Education,Education
B000911,Committee on Environment and Public Works,Environment
B000911,Committee on Energy and Natural Resources,Energy
B000911,Committee on Finance,Macroeconomics
B000911,"Committee on Science, Space, and Technology",Technology
B000911,Committee on the Judiciary,Law and Crime
B000911,Committee on Homeland Security,Defense
B000911,Committee on Natural Resources,Public Lands
B000911,Committee on Armed Services,Defense
B000944,"Committee on Health, Education, Labor, and Pensions",Health
B000944,Special Committee on Aging,Social Welfare
B000944,Committee on Energy and Commerce,Energy
B000944,Committee on Energy and Natural Resources,Energy
B000944,"Committee on Science, Space, and Technology",Technology
B000944,Committee on Appropriations,Macroeconomics
B000944,"Committee on Banking, Housing, and Urban Affairs",Housing
B000944,Committee on the Budget,Macroeconomics
B000944,Committee on the Judiciary,Law and Crime
B000944,Committee on Environment and Public Works,Environment
B000944,Committee on Natural Resources,Public Lands
B000944,Committee on Finance,Macroeconomics
B000944,Committee on Foreign Relations,International Affairs
B000944,Joint Committee on Taxation,Macroeconomics
B000944,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000944,Committee on Homeland Security and Governmental Affairs,Government Operations
B000944,Committee on Homeland Security,Defense
B000944,Committee on Ways and Means,Macroeconomics
B000944,Select Committee on Intelligence,Defense
B000944,House Permanent Select Committee on Intelligence,Defense
B000944,Committee on Armed Services,Defense
B000944,Committee on Veterans' Affairs,Social Welfare
B000944,Committee on Education and the Workforce,Education
B000944,Committee on Agriculture,Agriculture
B000944,Committee on Education,Education
B000944,Committee on Indian Affairs,Civil Rights
B000944,Committee on Financial Services,Domestic Commerce
B000944,Committee on Transportation and Infrastructure,Transportation
B000944,Committee on Commerce,Domestic Commerce
B001135,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B001135,Committee on Finance,Macroeconomics
B001135,"Committee on Health, Education, Labor, and Pensions",Health
B001135,Committee on Energy and Commerce,Energy
B001135,Committee on Energy and Natural Resources,Energy
B001135,Select Committee on Intelligence,Defense
B001135,Special Committee on Aging,Social Welfare
B001135,Select Committee on Ethics,Government Operations
B001135,Committee on Appropriations,Macroeconomics
B001135,Committee on Armed Services,Defense
B001135,Committee on Foreign Relations,International Affairs
B001135,Committee on the Judiciary,Law and Crime
B001135,Committee on the Budget,Macroeconomics
B001135,Committee on Rules and Administration,Government Operations
B001135,Committee on Agriculture,Agriculture
B001135,Committee on Homeland Security and Governmental Affairs,Government Operations
B001135,Committee on Homeland Security,Defense
B001135,Committee on Indian Affairs,Civil Rights
B001135,House Permanent Select Committee on Intelligence,Defense
B001135,Committee on Transportation and Infrastructure,Transportation
B001135,Committee on Environment and Public Works,Environment
B001135,Committee on Natural Resources,Public Lands
B001135,Committee on Veterans' Affairs,Social Welfare
B001135,Committee on Foreign Affairs,International Affairs
B001135,"Committee on Science, Space, and Technology",Technology
B001135,Committee on Oversight and Government Reform,Government Operations
B001135,"Committee on Banking, Housing, and Urban Affairs",Housing
B001135,Committee on Commerce,Domestic Commerce
B001135,Joint Committee on Taxation,Macroeconomics
B001135,Committee on Interior and Insular Affairs,
B001135,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B001135,Committee on Education,Education
B001227,Joint Committee on Printing,
B001227,Committee on Agriculture,Agriculture
B001227,Committee on Armed Services,Defense
B001227,Committee on the Budget,Macroeconomics
B001227,Committee on Education and the Workforce,Education
B001227,Committee on Energy and Commerce,Energy
B001227,Committee on Ethics,Government Operations
B001227,Committee on Financial Services,Domestic Commerce
B001227,Committee on Foreign Affairs,International Affairs
B001227,Committee on Homeland Security,Defense
B001227,Committee on House Administration,Government Operations
B001227,House Permanent Select Committee on Intelligence,Defense
B001227,Committee on the Judiciary,Law and Crime
B001227,Committee on Natural Resources,Public Lands
B001227,Committee on Oversight and Government Reform,Government Operations
B001227,Committee on Rules,Government Operations
B001227,"Committee on Science, Space, and Technology",Technology
B001227,Committee on Small Business,Domestic Commerce
B001227,Committee on Transportation and Infrastructure,Transportation
B001227,Committee on Veterans' Affairs,Social Welfare
B001227,Committee on Ways and Means,Macroeconomics
B001227,Committee on Appropriations,Macroeconomics
B001227,Joint Committee on Taxation,Macroeconomics
B001227,Select Investigative Panel of the Committee on Energy and Commerce,Energy
B001230,Committee on Appropriations,Macroeconomics
B001230,Committee on Veterans' Affairs,Social Welfare
B001230,Committee on Energy and Natural Resources,Energy
B001230,Committee on the Budget,Macroeconomics
