granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-15-pt1-PgE1141,CREC-2016-07-15,1761,SPEAKING,H,114,B001251,"Butterfield, G. K.",NC,D,8024,,"Butterfield, G. K.",Mr. BUTTERFIELD,G. K. Butterfield,
CREC-2016-07-15-pt1-PgE1140-3,CREC-2016-07-15,1810,SPEAKING,H,114,R000578,"Reichert, David G.",WA,R,8212,,"Reichert, David G.",Mr. REICHERT,David G. Reichert,Mr. David Reichert
CREC-2016-07-15-pt1-PgE1141-2,CREC-2016-07-15,1738,SPEAKING,H,114,P000588,"Pearce, Stevan",NM,R,8057,,"Pearce, Stevan",Mr. PEARCE,Stevan Pearce,
CREC-2016-07-15-pt1-PgE1141-3,CREC-2016-07-15,2025,SPEAKING,H,114,K000375,"Keating, William R.",MA,D,7975,,"Keating, William R.",Mr. KEATING,William R. Keating,Mr. William Keating
CREC-2016-07-15-pt1-PgE1141-4,CREC-2016-07-15,1501,SPEAKING,H,114,L000551,"Lee, Barbara",CA,D,7814,,"Lee, Barbara",Ms. LEE,Barbara Lee,
CREC-2016-07-15-pt1-PgE1141-5,CREC-2016-07-15,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,,,"Comstock, Barbara",Mrs. COMSTOCK,Barbara Comstock,
CREC-2016-07-15-pt1-PgE1142,CREC-2016-07-15,2017,SPEAKING,H,114,R000592,"Rokita, Todd",IN,R,7943,,"Rokita, Todd",Mr. ROKITA,Todd Rokita,
CREC-2016-07-15-pt1-PgE1142-2,CREC-2016-07-15,2107,SPEAKING,H,114,C001097,"Cardenas, Tony",CA,D,,,"Cardenas, Tony",Mr. CARDENAS,Tony Cardenas,
CREC-2016-07-15-pt1-PgE1142-3,CREC-2016-07-15,2197,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,,,"Byrne, Bradley",Mr. BYRNE,Bradley Byrne,
CREC-2016-07-15-pt1-PgE1143-3,CREC-2016-07-15,2109,SPEAKING,H,114,R000599,"Ruiz, Raul",CA,D,,,"Ruiz, Raul",Mr. RUIZ,Raul Ruiz,
CREC-2016-07-15-pt1-PgE1143-2,CREC-2016-07-15,1955,SPEAKING,H,114,O000168,"Olson, Pete",TX,R,8178,,"Olson, Pete",Mr. OLSON,Pete Olson,
CREC-2016-07-15-pt1-PgE1142-4,CREC-2016-07-15,1988,SPEAKING,H,114,S001185,"Sewell, Terri A.",AL,D,7792,,"Sewell, Terri A.",Ms. SEWELL of Alabama,Terri A. Sewell,Ms. Terri Sewell
CREC-2016-07-15-pt1-PgE1143,CREC-2016-07-15,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,8028,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2016-07-15-pt1-PgE1143-4,CREC-2016-07-15,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,,,"Carter, Earl L. ""Buddy""",Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter",Mr. Earl Carter
CREC-2016-07-15-pt1-PgE1143-5,CREC-2016-07-15,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,,,"Gallego, Ruben",Mr. GALLEGO,Ruben Gallego,
CREC-2016-07-15-pt1-PgE1144-2,CREC-2016-07-15,1653,SPEAKING,H,114,M001143,"McCollum, Betty",MN,D,8004,,"McCollum, Betty",Ms. McCOLLUM,Betty McCollum,
CREC-2016-07-15-pt1-PgE1144,CREC-2016-07-15,2119,SPEAKING,H,114,F000462,"Frankel, Lois",FL,D,,,"Frankel, Lois",Ms. FRANKEL of Florida,Lois Frankel,
CREC-2016-07-15-pt1-PgE1145-2,CREC-2016-07-15,2072,SPEAKING,H,114,D000614,"Duffy, Sean P.",WI,R,8220,,"Duffy, Sean P.",Mr. DUFFY,Sean P. Duffy,Mr. Sean Duffy
CREC-2016-07-15-pt1-PgE1144-3,CREC-2016-07-15,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-07-15-pt1-PgE1144-4,CREC-2016-07-15,1723,SPEAKING,H,114,B001245,"Bordallo, Madeleine Z.",GU,D,7911,,"Bordallo, Madeleine Z.",Ms. BORDALLO,Madeleine Z. Bordallo,Ms. Madeleine Bordallo
CREC-2016-07-15-pt1-PgE1145,CREC-2016-07-15,2251,SPEAKING,H,114,D000624,"Dingell, Debbie",MI,D,,,"Dingell, Debbie",Mrs. DINGELL,Debbie Dingell,
CREC-2016-07-15-pt1-PgE1145-3,CREC-2016-07-15,2027,SPEAKING,H,114,B001271,"Benishek, Dan",MI,R,7986,,"Benishek, Dan",Mr. BENISHEK,Dan Benishek,
CREC-2016-07-15-pt1-PgE1145-4,CREC-2016-07-15,2295,SPEAKING,H,114,L000585,"LaHood, Darin",IL,R,,,"LaHood, Darin",Mr. LaHOOD,Darin LaHood,
CREC-2016-07-15-pt1-PgE1146-2,CREC-2016-07-15,1807,SPEAKING,H,114,C001063,"Cuellar, Henry",TX,D,8184,,"Cuellar, Henry",Mr. CUELLAR,Henry Cuellar,
CREC-2016-07-15-pt1-PgE1146,CREC-2016-07-15,446,SPEAKING,H,114,G000289,"Goodlatte, Bob",VA,R,8197,,"Goodlatte, Bob",Mr. GOODLATTE,Bob Goodlatte,Robert Goodlatte
CREC-2016-07-15-pt1-PgE1146-3,CREC-2016-07-15,1641,SPEAKING,H,114,D000598,"Davis, Susan A.",CA,D,7858,,"Davis, Susan A.",Mrs. DAVIS of California,Susan A. Davis,Susan Davis
CREC-2016-07-15-pt1-PgE1147,CREC-2016-07-15,2294,SPEAKING,H,114,K000388,"Kelly, Trent",MS,R,,,"Kelly, Trent",Mr. KELLY of Mississippi,Trent Kelly,
CREC-2016-07-15-pt1-PgE1147-2,CREC-2016-07-15,2251,SPEAKING,H,114,D000624,"Dingell, Debbie",MI,D,,,"Dingell, Debbie",Mrs. DINGELL,Debbie Dingell,
CREC-2016-07-15-pt1-PgE1146-4,CREC-2016-07-15,2017,SPEAKING,H,114,R000592,"Rokita, Todd",IN,R,7943,,"Rokita, Todd",Mr. ROKITA,Todd Rokita,
CREC-2016-07-15-pt1-PgE1147-3,CREC-2016-07-15,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-15-pt1-PgE1147-4,CREC-2016-07-15,2002,SPEAKING,H,114,W000806,"Webster, Daniel",FL,R,7880,,"Webster, Daniel",Mr. WEBSTER of Florida,Daniel Webster,
CREC-2016-07-15-pt1-PgE1147-5,CREC-2016-07-15,599,SPEAKING,H,114,J000126,"Johnson, Eddie Bernice",TX,D,8186,,"Johnson, Eddie Bernice",Ms. EDDIE BERNICE JOHNSON of Texas,Eddie Bernice Johnson,Eddie Johnson
CREC-2016-07-15-pt1-PgE1148,CREC-2016-07-15,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,7983,,"Van Hollen, Chris",Mr. VAN HOLLEN,Chris Van Hollen,
CREC-2016-07-15-pt1-PgE1148-3,CREC-2016-07-15,2263,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,,,"Stefanik, Elise M.",Ms. STEFANIK,Elise M. Stefanik,Ms. Elise Stefanik
CREC-2016-07-15-pt1-PgE1148-2,CREC-2016-07-15,132,SPEAKING,H,114,B000911,"Brown, Corrine",FL,D,7875,,"Brown, Corrine",Ms. BROWN of Florida,Corrine Brown,
CREC-2016-07-15-pt1-PgE1149,CREC-2016-07-15,1916,SPEAKING,H,114,R000583,"Rooney, Thomas J.",FL,R,7888,,"Rooney, Thomas J.",Mr. ROONEY of Florida,Thomas J. Rooney,Mr. Thomas Rooney
CREC-2016-07-15-pt1-PgE1149-2,CREC-2016-07-15,1654,SPEAKING,H,114,C001049,"Clay, Wm. Lacy",MO,D,8009,,"Clay, Wm. Lacy",Mr. CLAY,Wm. Lacy Clay,William Lacy Clay
CREC-2016-07-15-pt1-PgE1149-3,CREC-2016-07-15,1643,SPEAKING,H,114,C001045,"Crenshaw, Ander",FL,R,7876,,"Crenshaw, Ander",Mr. CRENSHAW,Ander Crenshaw,
CREC-2016-07-15-pt1-PgE1149-4,CREC-2016-07-15,1988,SPEAKING,H,114,S001185,"Sewell, Terri A.",AL,D,7792,,"Sewell, Terri A.",Ms. SEWELL of Alabama,Terri A. Sewell,Ms. Terri Sewell
CREC-2016-07-15-pt1-PgD829,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgD829-2,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgD829-3,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgD829-4,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgD829-5,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgD829-6,CREC-2016-07-15,,,,,,,,,,,,,,
