granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-03-22-pt1-PgH1506-4,CREC-2016-03-22,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,,8088,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-03-22-pt1-PgH1506-5,CREC-2016-03-22,2129,SPEAKING,H,114,B001284,"Brooks, Susan W.",IN,R,,,"Brooks, Susan W.",Mrs. BROOKS of Indiana,Susan W. Brooks,Mrs. Susan Brooks
CREC-2016-03-22-pt1-PgH1507,CREC-2016-03-22,2295,SPEAKING,H,114,L000585,"LaHood, Darin",IL,R,,,"LaHood, Darin",Mr. LaHOOD,Darin LaHood,
CREC-2016-03-22-pt1-PgH1506-6,CREC-2016-03-22,1761,SPEAKING,H,114,B001251,"Butterfield, G. K.",NC,D,,8024,"Butterfield, G. K.",Mr. BUTTERFIELD,G. K. Butterfield,
CREC-2016-03-22-pt1-PgH1507-3,CREC-2016-03-22,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-03-22-pt1-PgH1507-2,CREC-2016-03-22,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2016-03-22-pt1-PgH1507-4,CREC-2016-03-22,2113,SPEAKING,H,114,P000608,"Peters, Scott H.",CA,D,,,"Peters, Scott H.",Mr. PETERS,Scott H. Peters,Mr. Scott Peters
CREC-2016-03-22-pt1-PgH1507-6,CREC-2016-03-22,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,,8075,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2016-03-22-pt1-PgH1507-5,CREC-2016-03-22,2223,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,,"Hill, J. French",Mr. HILL,J. French Hill,
CREC-2016-03-22-pt1-PgH1508,CREC-2016-03-22,2061,SPEAKING,H,114,F000459,"Fleischmann, Charles J. ""Chuck""",TN,R,,8150,"Fleischmann, Charles J. ""Chuck""",Mr. FLEISCHMANN,"Charles J. ""Chuck"" Fleischmann",Mr. Charles Fleischmann
CREC-2016-03-22-pt1-PgH1508-3,CREC-2016-03-22,2197,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,,,"Byrne, Bradley",Mr. BYRNE,Bradley Byrne,
CREC-2016-03-22-pt1-PgH1508-2,CREC-2016-03-22,2201,SPEAKING,H,114,A000370,"Adams, Alma S.",NC,D,,,"Adams, Alma S.",Ms. ADAMS,Alma S. Adams,Ms. Alma Adams
CREC-2016-03-22-pt1-PgH1508-5,CREC-2016-03-22,2245,SPEAKING,H,114,G000577,"Graves, Garret",LA,R,,,"Graves, Garret",Mr. GRAVES of Louisiana,Garret Graves,
CREC-2016-03-22-pt1-PgH1508-4,CREC-2016-03-22,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,7860,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2016-03-22-pt1-PgH1508-6,CREC-2016-03-22,1838,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,,7881,"Bilirakis, Gus M.",Mr. BILIRAKIS,Gus M. Bilirakis,Mr. Gus Bilirakis
CREC-2016-03-22-pt1-PgH1509,CREC-2016-03-22,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-03-22-pt1-PgH1509-2,CREC-2016-03-22,2021,SPEAKING,H,114,Y000063,"Yoder, Kevin",KS,R,,7951,"Yoder, Kevin",Mr. YODER,Kevin Yoder,
CREC-2016-03-22-pt1-PgH1509-3,CREC-2016-03-22,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2016-03-22-pt1-PgH1509-3,CREC-2016-03-22,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,7860,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2016-03-22-pt1-PgH1513,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,,,"Comstock, Barbara",Ms. COMSTOCK,Barbara Comstock,
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,,,"Comstock, Barbara",Mrs. COMSTOCK,Barbara Comstock,
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,,,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,1833,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,,7827,"McCarthy, Kevin",Mr. McCARTHY,Kevin McCarthy,
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Mr. Ryan Costello
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,8174,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,2252,SPEAKING,H,114,L000581,"Lawrence, Brenda L.",MI,D,,,"Lawrence, Brenda L.",Mrs. LAWRENCE,Brenda L. Lawrence,Mrs. Brenda Lawrence
CREC-2016-03-22-pt1-PgH1514,CREC-2016-03-22,1075,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,,8177,"Smith, Lamar",Mr. SMITH of Texas,Lamar Smith,
CREC-2016-03-22-pt1-PgH1516,CREC-2016-03-22,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,,,"Comstock, Barbara",Mrs. COMSTOCK,Barbara Comstock,
CREC-2016-03-22-pt1-PgH1516,CREC-2016-03-22,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,,,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2016-03-22-pt1-PgH1516,CREC-2016-03-22,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,8174,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2016-03-22-pt1-PgH1516,CREC-2016-03-22,1075,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,,8177,"Smith, Lamar",Mr. SMITH of Texas,Lamar Smith,
CREC-2016-03-22-pt1-PgH1518,CREC-2016-03-22,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2016-03-22-pt1-PgH1518,CREC-2016-03-22,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,,7970,"Tsongas, Niki",Ms. TSONGAS,Niki Tsongas,
CREC-2016-03-22-pt1-PgH1518,CREC-2016-03-22,91,SPEAKING,H,114,B000490,"Bishop, Sanford D., Jr.",GA,D,,7899,"Bishop, Sanford D., Jr.",Mr. BISHOP of Georgia,"Sanford D. Bishop, Jr.",Sanford Bishop
CREC-2016-03-22-pt1-PgH1518,CREC-2016-03-22,2009,SPEAKING,H,114,S001189,"Scott, Austin",GA,R,,7905,"Scott, Austin",Mr. AUSTIN SCOTT of Georgia,Austin Scott,
CREC-2016-03-22-pt1-PgH1522,CREC-2016-03-22,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2016-03-22-pt1-PgH1522,CREC-2016-03-22,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,,7970,"Tsongas, Niki",Ms. TSONGAS,Niki Tsongas,
CREC-2016-03-22-pt1-PgH1522,CREC-2016-03-22,1583,SPEAKING,H,114,L000557,"Larson, John B.",CT,D,,7866,"Larson, John B.",Mr. LARSON of Connecticut,John B. Larson,John Larson
CREC-2016-03-22-pt1-PgH1523,CREC-2016-03-22,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2016-03-22-pt1-PgH1523,CREC-2016-03-22,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,,7970,"Tsongas, Niki",Ms. TSONGAS,Niki Tsongas,
CREC-2016-03-22-pt1-PgH1523,CREC-2016-03-22,2035,SPEAKING,H,114,P000601,"Palazzo, Steven M.",MS,R,,8022,"Palazzo, Steven M.",Mr. PALAZZO,Steven M. Palazzo,Mr. Steven Palazzo
CREC-2016-03-22-pt1-PgH1524,CREC-2016-03-22,2019,SPEAKING,H,114,Y000064,"Young, Todd",IN,R,,7948,"Young, Todd",Mr. YOUNG of Indiana,Todd Young,Mr. Todd C. Young
CREC-2016-03-22-pt1-PgH1524,CREC-2016-03-22,1477,SPEAKING,H,114,D000096,"Davis, Danny K.",IL,D,,7927,"Davis, Danny K.",Mr. DANNY K. DAVIS of Illinois,Danny K. Davis,Danny Davis
CREC-2016-03-22-pt1-PgH1524,CREC-2016-03-22,2128,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2016-03-22-pt1-PgH1524,CREC-2016-03-22,303,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,,8181,"Doggett, Lloyd",Mr. DOGGETT,Lloyd Doggett,
CREC-2016-03-22-pt1-PgH1531,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1532,CREC-2016-03-22,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,7860,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,1685,SPEAKING,H,114,M001144,"Miller, Jeff",FL,R,,7873,"Miller, Jeff",Mr. MILLER of Florida,Jeff Miller,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,132,SPEAKING,H,114,B000911,"Brown, Corrine",FL,D,,7875,"Brown, Corrine",Ms. BROWN of Florida,Corrine Brown,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2225,SPEAKING,H,114,M001197,"McSally, Martha",AZ,R,,,"McSally, Martha",Ms. McSALLY,Martha McSally,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2145,SPEAKING,H,114,K000382,"Kuster, Ann M.",NH,D,,,"Kuster, Ann M.",Ms. KUSTER,Ann M. Kuster,Ms. Ann Kuster
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,1912,SPEAKING,H,114,C001077,"Coffman, Mike",CO,R,,7864,"Coffman, Mike",Mr. COFFMAN,Mike Coffman,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2259,SPEAKING,H,114,W000822,"Watson Coleman, Bonnie",NJ,D,,,"Watson Coleman, Bonnie",Mrs. WATSON COLEMAN,Bonnie Watson Coleman,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,,,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Mr. Ralph Abraham
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2243,SPEAKING,H,114,B001295,"Bost, Mike",IL,R,,,"Bost, Mike",Mr. BOST,Mike Bost,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,8158,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,1895,SPEAKING,H,114,F000455,"Fudge, Marcia L.",OH,D,,8101,"Fudge, Marcia L.",Ms. FUDGE,Marcia L. Fudge,Ms. Marcia Fudge
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,2067,SPEAKING,H,114,F000460,"Farenthold, Blake",TX,R,,8183,"Farenthold, Blake",Mr. FARENTHOLD,Blake Farenthold,
CREC-2016-03-22-pt1-PgH1528,CREC-2016-03-22,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,8174,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2016-03-22-pt1-PgH1533,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1534,CREC-2016-03-22,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2016-03-22-pt1-PgH1534-2,CREC-2016-03-22,1803,SPEAKING,H,114,G000553,"Green, Al",TX,D,,8165,"Green, Al",Mr. AL GREEN of Texas,Al Green,
CREC-2016-03-22-pt1-PgH1535,CREC-2016-03-22,2261,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,,,"Zeldin, Lee M.",Mr. ZELDIN,Lee M. Zeldin,Mr. Lee Zeldin
CREC-2016-03-22-pt1-PgH1535-2,CREC-2016-03-22,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-03-22-pt1-PgH1535-3,CREC-2016-03-22,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,,8099,"Kaptur, Marcy",Ms. KAPTUR,Marcy Kaptur,
CREC-2016-03-22-pt1-PgH1536-3,CREC-2016-03-22,2260,SPEAKING,H,114,H001070,"Hardy, Cresent",NV,R,,,"Hardy, Cresent",Mr. HARDY,Cresent Hardy,
CREC-2016-03-22-pt1-PgH1536,CREC-2016-03-22,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,8158,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2016-03-22-pt1-PgH1536-2,CREC-2016-03-22,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,,,"Carter, Earl L. ""Buddy""",Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter",Mr. Earl Carter
CREC-2016-03-22-pt1-PgH1545,CREC-2016-03-22,2116,SPEAKING,H,114,D000621,"DeSantis, Ron",FL,R,,,"DeSantis, Ron",Mr. DeSANTIS,Ron DeSantis,
CREC-2016-03-22-pt1-PgH1545,CREC-2016-03-22,2241,SPEAKING,H,114,B001294,"Blum, Rod",IA,R,,,"Blum, Rod",Mr. BLUM,Rod Blum,
CREC-2016-03-22-pt1-PgH1536-4,CREC-2016-03-22,2261,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,,,"Zeldin, Lee M.",Mr. ZELDIN,Lee M. Zeldin,Mr. Lee Zeldin
CREC-2016-03-22-pt1-PgH1536-4,CREC-2016-03-22,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,,8153,"Black, Diane",Mrs. BLACK,Diane Black,
CREC-2016-03-22-pt1-PgH1536-4,CREC-2016-03-22,,SPEAKING,H,114,,,,,,,,Mrs. McMORRIS RODGERS,,
CREC-2016-03-22-pt1-PgH1536-4,CREC-2016-03-22,2129,SPEAKING,H,114,B001284,"Brooks, Susan W.",IN,R,,,"Brooks, Susan W.",Mrs. BROOKS of Indiana,Susan W. Brooks,Mrs. Susan Brooks
CREC-2016-03-22-pt1-PgH1536-4,CREC-2016-03-22,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,8158,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2016-03-22-pt1-PgH1542,CREC-2016-03-22,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,,8099,"Kaptur, Marcy",Ms. KAPTUR,Marcy Kaptur,
CREC-2016-03-22-pt1-PgH1542,CREC-2016-03-22,2027,SPEAKING,H,114,B001271,"Benishek, Dan",MI,R,,7986,"Benishek, Dan",Mr. BENISHEK,Dan Benishek,
CREC-2016-03-22-pt1-PgH1542,CREC-2016-03-22,2051,SPEAKING,H,114,K000376,"Kelly, Mike",PA,R,,8708,"Kelly, Mike",Mr. KELLY of Pennsylvania,Mike Kelly,
CREC-2016-03-22-pt1-PgH1542,CREC-2016-03-22,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2016-03-22-pt1-PgH1549,CREC-2016-03-22,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,8157,"Gohmert, Louie",Mr. GOHMERT,Louie Gohmert,
CREC-2016-03-22-pt1-PgH1550,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1550-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1550-3,CREC-2016-03-22,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,8157,"Gohmert, Louie",Mr. GOHMERT,Louie Gohmert,
CREC-2016-03-22-pt1-PgH1552-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1550-4,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1552,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1552-3,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-4,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-3,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-7,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-5,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-6,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-8,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-9,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-10,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-12,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-11,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-13,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-14,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-15,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1553-16,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgE355-2,CREC-2016-03-22,2052,SPEAKING,H,114,M001181,"Meehan, Patrick",PA,R,,8125,"Meehan, Patrick",Mr. MEEHAN,Patrick Meehan,
CREC-2016-03-22-pt1-PgE355-3,CREC-2016-03-22,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Mr. Ryan Costello
CREC-2016-03-22-pt1-PgE355-4,CREC-2016-03-22,2201,SPEAKING,H,114,A000370,"Adams, Alma S.",NC,D,,,"Adams, Alma S.",Ms. ADAMS,Alma S. Adams,Ms. Alma Adams
CREC-2016-03-22-pt1-PgE355-5,CREC-2016-03-22,2142,SPEAKING,H,114,M001187,"Meadows, Mark",NC,R,,,"Meadows, Mark",Mr. MEADOWS,Mark Meadows,
CREC-2016-03-22-pt1-PgE355-6,CREC-2016-03-22,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2016-03-22-pt1-PgE356-2,CREC-2016-03-22,2053,SPEAKING,H,114,M001179,"Marino, Tom",PA,R,,8128,"Marino, Tom",Mr. MARINO,Tom Marino,
CREC-2016-03-22-pt1-PgE356-3,CREC-2016-03-22,1988,SPEAKING,H,114,S001185,"Sewell, Terri A.",AL,D,,7792,"Sewell, Terri A.",Ms. SEWELL of Alabama,Terri A. Sewell,Ms. Terri Sewell
CREC-2016-03-22-pt1-PgE356,CREC-2016-03-22,1596,SPEAKING,H,114,W000791,"Walden, Greg",OR,R,,8115,"Walden, Greg",Mr. WALDEN,Greg Walden,
CREC-2016-03-22-pt1-PgE356-4,CREC-2016-03-22,2158,SPEAKING,H,114,R000598,"Rothfus, Keith J.",PA,R,,,"Rothfus, Keith J.",Mr. ROTHFUS,Keith J. Rothfus,Mr. Keith Rothfus
CREC-2016-03-22-pt1-PgE357,CREC-2016-03-22,1654,SPEAKING,H,114,C001049,"Clay, Wm. Lacy",MO,D,,8009,"Clay, Wm. Lacy",Mr. CLAY,Wm. Lacy Clay,William Lacy Clay
CREC-2016-03-22-pt1-PgE357-2,CREC-2016-03-22,2038,SPEAKING,H,114,G000570,"Guinta, Frank C.",NH,R,,8041,"Guinta, Frank C.",Mr. GUINTA,Frank C. Guinta,Mr. Frank Guinta
CREC-2016-03-22-pt1-PgE357-3,CREC-2016-03-22,1864,SPEAKING,H,114,C001067,"Clarke, Yvette D.",NY,D,,8072,"Clarke, Yvette D.",Ms. CLARKE of New York,Yvette D. Clarke,Ms. Yvette Clarke
CREC-2016-03-22-pt1-PgE357-4,CREC-2016-03-22,1069,SPEAKING,H,114,S000480,"Slaughter, Louise McIntosh",NY,D,,8089,"Slaughter, Louise McIntosh",Ms. SLAUGHTER,Louise McIntosh Slaughter,Louise Slaughter
CREC-2016-03-22-pt1-PgE358,CREC-2016-03-22,2159,SPEAKING,H,114,C001090,"Cartwright, Matt",PA,D,,,"Cartwright, Matt",Mr. CARTWRIGHT,Matt Cartwright,
CREC-2016-03-22-pt1-PgE358-3,CREC-2016-03-22,599,SPEAKING,H,114,J000126,"Johnson, Eddie Bernice",TX,D,,8186,"Johnson, Eddie Bernice",Ms. EDDIE BERNICE JOHNSON of Texas,Eddie Bernice Johnson,Eddie Johnson
CREC-2016-03-22-pt1-PgE358-2,CREC-2016-03-22,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-03-22-pt1-PgE358-4,CREC-2016-03-22,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,,,"Comstock, Barbara",Mrs. COMSTOCK,Barbara Comstock,
CREC-2016-03-22-pt1-PgE359-2,CREC-2016-03-22,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-03-22-pt1-PgE359-3,CREC-2016-03-22,1799,SPEAKING,H,114,D000604,"Dent, Charles W.",PA,R,,8133,"Dent, Charles W.",Mr. DENT,Charles W. Dent,Mr. Charles Dent
CREC-2016-03-22-pt1-PgE359,CREC-2016-03-22,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
