interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
Alliance for Retired Americans,111,Alliance for Retired Americans,Alliance for Retired Americans,100,Alliance for Retired Americans,Alliance for Retired Americans,ARA,ARA,True,True,False,False,False
Alliance for Telecommunications Industry Solutions,112,Alliance for Telecommunications Industry Solutions,Alliance for Telecommunications Industry Solutions,100,Alliance for Telecommunications Industry Solutions,Alliance for Telecommunications Industry Solutions,ATIS,ATIS,True,True,False,False,False
"Alliance of Automobile Manufacturers, Inc.",115,"Alliance of Automobile Manufacturers, Inc.",Alliance of Automobile Manufacturers,86,List of automobile manufacturers of France,The Auto Alliance,,AAM,True,False,True,True,True
Alliance of Marine Mammal Parks and Aquariums,116,Alliance of Marine Mammal Parks and Aquariums,Alliance of Marine Mammal Parks and Aquariums,84,Marine mammal park,Alliance of Marine Mammal Parks and Aquariums,,AMMPA,True,False,False,True,True
Alliance of Nonprofit Mailers,117,Alliance of Nonprofit Mailers,Alliance of Nonprofit Mailers,38,Daniel Katz (environmental activist),Alliance of Nonprofit Mailers,,,True,False,False,True,False
Alliance to End Childhood Lead Poisoning,118,Alliance to End Childhood Lead Poisoning,Alliance to End Childhood Lead Poisoning,28,Herbert Needleman,Alliance to End Childhood Lead Poisoning,CDC,,True,False,False,True,True
Alzheimer's Association,130,Alzheimer's Association,Alzheimer's Association,100,Alzheimer's Association,Alzheimer's Association,NIH,,True,True,False,False,True
Amalgamated Transit Union,131,Amalgamated Transit Union,Amalgamated Transit Union,100,Amalgamated Transit Union,Amalgamated Transit Union,ATU,ATU,True,True,False,False,False
American Academy for Liberal Education,134,American Academy for Liberal Education,American Academy for Liberal Education,100,American Academy for Liberal Education,American Academy for Liberal Education,AALE,AALE,True,True,False,False,False
American Academy of Actuaries,135,American Academy of Actuaries,American Academy of Actuaries,100,American Academy of Actuaries,American Academy of Actuaries,ASB,,True,True,False,False,True
American Academy of Audiology,136,American Academy of Audiology,American Academy of Audiology,100,Audiology,American Academy of Audiology,,,True,False,False,True,False
American Academy of Child and Adolescent Psychiatry,137,American Academy of Child and Adolescent Psychiatry,American Academy of Child and Adolescent Psychiatry,100,American Academy of Child and Adolescent Psychiatry,American Academy of Child and Adolescent Psychiatry,AACAP,AACAP,True,True,False,False,False
American Academy of Dermatology,138,American Academy of Dermatology,American Academy of Dermatology,100,American Academy of Dermatology,American Academy of Dermatology,AAD,AAD,True,True,False,False,False
American Academy of Facial Plastic and Reconstructive Surgery,139,American Academy of Facial Plastic and Reconstructive Surgery,American Academy of Facial Plastic and Reconstructive Surgery,100,American Academy of Facial Plastic and Reconstructive Surgery,American Academy of Facial Plastic and Reconstructive Surgery,,AAFPRS,True,True,False,False,True
American Academy of Family Physicians,140,American Academy of Family Physicians,American Academy of Family Physicians,100,American Academy of Family Physicians,American Academy of Family Physicians,AAFP,AAFP,True,True,False,False,False
American Academy of Nurse Practitioners,142,American Academy of Nurse Practitioners,American Academy of Nurse Practitioners,89,American Association of Nurse Practitioners,American Association of Nurse Practitioners,AANP,AANP,True,False,False,False,False
American Academy of Ophthamology - Office of Federal Affairs,143,American Academy of Ophthamology - Office of Federal Affairs,American Academy of Ophthamology - Office of Federal Affairs,0,,American Academy of Ophthamology,,AAO,False,False,False,True,True
American Academy of Orthopaedic Surgeons,145,American Academy of Orthopaedic Surgeons,American Academy of Orthopaedic Surgeons,100,American Academy of Orthopaedic Surgeons,American Academy of Orthopaedic Surgeons,AAOS,AAOS,True,True,False,False,False
American Academy of Otolaryngic Allergy,146,American Academy of Otolaryngic Allergy,American Academy of Otolaryngic Allergy,56,International Forum of Allergy & Rhinology,American Academy of Otolaryngic Allergy,,AAOA,True,False,False,True,True
American Academy of Otolaryngology-Head and Neck Surgery,147,American Academy of Otolaryngology-Head and Neck Surgery,American Academy of Otolaryngology-Head and Neck Surgery,100,Otolaryngologyâ€“Head and Neck Surgery,American Academy of Otolaryngology-Head and Neck Surgery,,AAO-HNS,True,False,False,True,True
American Academy of Pediatrics,148,American Academy of Pediatrics,American Academy of Pediatrics,100,American Academy of Pediatrics,American Academy of Pediatrics,AAP,AAP,True,True,False,False,False
American Academy of Physician Assistants,149,American Academy of Physician Assistants,American Academy of Physician Assistants,64,Physician assistant,American Academy of Physician Assistants,,AAPA,True,False,False,True,True
American Advertising Federation,151,American Advertising Federation,American Advertising Federation,100,American Advertising Federation,American Advertising Federation,AAF,AAF,True,True,False,False,False
American AIDS Political Action Committee,152,American AIDS Political Action Committee,American AIDS Political Action Committee,22,ACT UP,AIDS Coalition to Unleash Power,,ACT UP,True,False,False,True,True
"American Alliance for Health, Physical Education, Recreation and Dance",154,"American Alliance for Health, Physical Education, Recreation and Dance","American Alliance for Health, Physical Education, Recreation and Dance",30,SHAPE America,Society of Health and Physical Educators,,SHAPE America,True,False,False,True,True
American Ambulance Association,155,American Ambulance Association,American Ambulance Association,100,American Ambulance Association,American Ambulance Association,AAA,AAA,True,True,False,False,False
American Anthropological Association,156,American Anthropological Association,American Anthropological Association,100,American Anthropological Association,American Anthropological Association,AAA,AAA,True,True,False,False,False
American Apparel & Footwear Association,157,American Apparel & Footwear Association,American Apparel & Footwear Association,100,American Apparel & Footwear Association,American Apparel & Footwear Association,AAFA,AAFA,True,True,False,False,False
American Arbitration Association,158,American Arbitration Association,American Arbitration Association,100,American Arbitration Association,American Arbitration Association,AAA,AAA,True,True,False,False,False
American Arts Alliance,159,American Arts Alliance,American Arts Alliance,89,Mid-America Arts Alliance,American Arts Alliance,,,True,False,False,True,False
American Association for Adult and Continuing Education,161,American Association for Adult and Continuing Education,American Association for Adult and Continuing Education,100,Continuing education,American Association for Adult and Continuing Education,,AAACE,True,False,False,True,True
"American Association for Clinical Chemistry, Inc.",162,"American Association for Clinical Chemistry, Inc.",American Association for Clinical Chemistry,25,Troponin T,American Association for Clinical Chemistry,,AACC,True,False,True,True,True
American Association for Dental Research,163,American Association for Dental Research,American Association for Dental Research,100,American Dental Association,"The American Association for Dental, Oral, and Craniofacial Research",,AADOCR,True,False,False,True,True
American Association for Geriatric Psychiatry,164,American Association for Geriatric Psychiatry,American Association for Geriatric Psychiatry,100,Geriatric psychiatry,American Association for Geriatric Psychiatry,AAGP,AAGP,True,False,False,True,False
American Association for Health Education,165,American Association for Health Education,American Association for Health Education,100,Health education,American Association for Health Education,,AAHE,True,False,False,True,True
American Association for Homecare,167,American Association for Homecare,American Association for Homecare,36,Modern Healthcare,American Association for Homecare,,,True,False,False,True,False
American Association for Marriage and Family Therapy,169,American Association for Marriage and Family Therapy,American Association for Marriage and Family Therapy,100,American Association for Marriage and Family Therapy,American Association for Marriage and Family Therapy,AAMFT,AAMFT,True,True,False,False,False
American Association of Advertising Agencies,172,American Association of Advertising Agencies,American Association of Advertising Agencies,100,American Association of Advertising Agencies,American Association of Advertising Agencies,,AAAA,True,True,False,False,True
American Association of Airport Executives,173,American Association of Airport Executives,American Association of Airport Executives,100,American Association of Airport Executives,American Association of Airport Executives,AAAE,AAAE,True,True,False,False,False
American Association of Bank Directors,174,American Association of Bank Directors,American Association of Bank Directors,64,Bank of America,American Association of Bank Directors,,AABD,True,False,False,True,True
American Association of Blacks in Energy,176,American Association of Blacks in Energy,American Association of Blacks in Energy,52,African Americanâ€“Jewish relations,American Association of Blacks in Energy,,AABE,True,False,False,True,True
American Association of Blood Banks,177,American Association of Blood Banks,American Association of Blood Banks,21,AABB,American Association of Blood Banks,CLIA,AABB,True,False,False,True,True
American Association of Colleges for Teacher Education,179,American Association of Colleges for Teacher Education,American Association of Colleges for Teacher Education,100,American Association of Colleges for Teacher Education,American Association of Colleges for Teacher Education,AACTE,AACTE,True,True,False,False,False
American Association of Colleges of Nursing,180,American Association of Colleges of Nursing,American Association of Colleges of Nursing,100,American Association of Colleges of Nursing,American Association of Colleges of Nursing,AACN,AACN,True,True,False,False,False
American Association of Colleges of Osteopathic Medicine,181,American Association of Colleges of Osteopathic Medicine,American Association of Colleges of Osteopathic Medicine,100,American Association of Colleges of Osteopathic Medicine,American Association of Colleges of Osteopathic Medicine,AACOM,AACOM,True,True,False,False,False
American Association of Colleges of Pharmacy,182,American Association of Colleges of Pharmacy,American Association of Colleges of Pharmacy,100,American Association of Colleges of Pharmacy,American Association of Colleges of Pharmacy,AACP,AACP,True,True,False,False,False
American Association of Collegiate Registrars and Admissions Officers,184,American Association of Collegiate Registrars and Admissions Officers,American Association of Collegiate Registrars and Admissions Officers,32,Academic grading in Japan,American Association of Collegiate Registrars and Admissions Officers,,AACRAO,True,False,False,True,True
American Association of Community Colleges,185,American Association of Community Colleges,American Association of Community Colleges,100,American Association of Community Colleges,American Association of Community Colleges,AACC,AACC,True,True,False,False,False
American Association of Crop Insurers,186,American Association of Crop Insurers,American Association of Crop Insurers,30,Insurance,American Association of Crop Insurers,,,True,False,False,True,False
American Association of Early Childhood Educators,187,American Association of Early Childhood Educators,American Association of Early Childhood Educators,75,Early childhood education,American Association of Early Childhood Educators,,,True,False,False,True,False
American Association of Entrepreneurs,190,American Association of Entrepreneurs,American Association of Entrepreneurs,49,Entrepreneurship,American Association of Entrepreneurs,,,True,False,False,True,False
American Association of Family and Consumer Sciences,191,American Association of Family and Consumer Sciences,American Association of Family and Consumer Sciences,100,American Association of Family and Consumer Sciences,American Association of Family and Consumer Sciences,AAFCS,AAFCS,True,True,False,False,False
American Association of Homes and Services for the Aging,194,American Association of Homes and Services for the Aging,American Association of Homes and Services for the Aging,91,International Association of Homes and Services for the Aging,LeadingAge,,,True,False,False,True,False
American Association of Immunologists,195,American Association of Immunologists,American Association of Immunologists,100,American Association of Immunologists,American Association of Immunologists,AAI,AAI,True,True,False,False,False
American Association of Law Libraries,196,American Association of Law Libraries,American Association of Law Libraries,100,American Association of Law Libraries,American Association of Law Libraries,AALL,AALL,True,True,False,False,False
American Association of Motor Vehicle Administrators,197,American Association of Motor Vehicle Administrators,American Association of Motor Vehicle Administrators,100,American Association of Motor Vehicle Administrators,American Association of Motor Vehicle Administrators,AAMVA,AAMVA,True,True,False,False,False
American Association of Museums,198,American Association of Museums,American Association of Museums,81,American Alliance of Museums,American Alliance of Museums,MAP,AAM,True,False,False,False,True
American Association of Neurological Surgeons/Congress of Neurological Surgeons,199,American Association of Neurological Surgeons/Congress of Neurological Surgeons,American Association of Neurological Surgeons/Congress of Neurological Surgeons,30,Neurosurgery,American Association of Neurological Surgeons,,AANS,True,False,False,True,True
American Association of Nurse Anesthetists,200,American Association of Nurse Anesthetists,American Association of Nurse Anesthetists,58,Nurse anesthetist,American Association of Nurse Anesthetists,CRNA,AANS,True,False,False,True,True
American Association of Pastoral Counselors,201,American Association of Pastoral Counselors,American Association of Pastoral Counselors,100,American Association of Pastoral Counselors,American Association of Pastoral Counselors,ACPE,AAPC,True,True,False,False,True
American Association of Pharmaceutical Scientists,202,American Association of Pharmaceutical Scientists,American Association of Pharmaceutical Scientists,21,Dysphoria,American Association of Pharmaceutical Scientists,,AAPS,True,False,False,True,True
American Association of Physics Teachers,203,American Association of Physics Teachers,American Association of Physics Teachers,100,American Association of Physics Teachers,American Association of Physics Teachers,AAPT,AAPT,True,True,False,False,False
American Association of Political Consultants,204,American Association of Political Consultants,American Association of Political Consultants,100,American Association of Political Consultants,American Association of Political Consultants,AAPC,AAPC,True,True,False,False,False
American Association of Port Authorities,205,American Association of Port Authorities,American Association of Port Authorities,100,American Association of Port Authorities,American Association of Port Authorities,AAPA,AAPA,True,True,False,False,False
"American Association of Private Railroad Car Owners, Inc.",206,"American Association of Private Railroad Car Owners, Inc.","American Association of Private Railroad Car Owners, Inc.",71,Passenger railroad car,"American Association of Private Railroad Car Owners, Inc.",,,True,False,False,True,False
American Association of Residential Mortgage Regulators,207,American Association of Residential Mortgage Regulators,American Association of Residential Mortgage Regulators,41,Nationwide Multi-State Licensing System and Registry,American Association of Residential Mortgage Regulators,AARMR,AARMR,True,False,False,True,False
American Association of School Administrators,208,American Association of School Administrators,American Association of School Administrators,100,American Association of School Administrators,School Superintendents Association,AASA,AASA,True,True,False,True,False
American Association of State Colleges and Universities,209,American Association of State Colleges and Universities,American Association of State Colleges and Universities,100,American Association of State Colleges and Universities,American Association of State Colleges and Universities,AASCU,AASCU,True,True,False,False,False
American Association of State Highway and Transportation Officials,210,American Association of State Highway and Transportation Officials,American Association of State Highway and Transportation Officials,100,American Association of State Highway and Transportation Officials,American Association of State Highway and Transportation Officials,AASHTO,AASHTO,True,True,False,False,False
American Association of Tissue Banks,211,American Association of Tissue Banks,American Association of Tissue Banks,100,American Association of Tissue Banks,American Association of Tissue Banks,AATB,AATB,True,True,False,False,False
American Association of University Women,214,American Association of University Women,American Association of University Women,100,American Association of University Women,American Association of University Women,AAUW,AAUW,True,True,False,False,False
American Association on Mental Retardation,215,American Association on Mental Retardation,American Association on Mental Retardation,71,American Association on Intellectual and Developmental Disabilities,American Association on Intellectual and Developmental Disabilities,AJIDD,AAIDD,True,False,False,False,True
American Astronautical Society,216,American Astronautical Society,American Astronautical Society,100,American Astronautical Society,American Astronautical Society,AAS,AAS,True,True,False,False,False
American Astronomical Society,217,American Astronomical Society,American Astronomical Society,100,American Astronomical Society,American Astronomical Society,,AAS,True,True,False,False,True
American Bakers Association,20110326,American Bakers Association,American Bakers Association,37,List of bakeries,American Bakers Association,,ABA,True,False,False,True,True
American Bankruptcy Institute,220,American Bankruptcy Institute,American Bankruptcy Institute,100,American Bankruptcy Institute,American Bankruptcy Institute,ABI,ABI,True,True,False,False,False
American Bar Association,221,American Bar Association,American Bar Association,100,American Bar Association,American Bar Association,ABA,ABA,True,True,False,False,False
American Benefits Council,222,American Benefits Council,American Benefits Council,100,American Benefits Council,American Benefits Council,APPWP,,True,True,False,False,True
American Bird Conservancy,223,American Bird Conservancy,American Bird Conservancy,100,American Bird Conservancy,American Bird Conservancy,ABC,,True,True,False,False,True
"American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)",224,"American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)","American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)",25,Prosthetist,American Board for Certification in Orthotics and Prosthetics,,ABCOP,True,False,False,True,True
American Board of Opticianry,225,American Board of Opticianry,American Board of Opticianry,100,American Board of Opticianry,American Board of Opticianry,ABO,ABO,True,True,False,False,False
American Boiler Manufacturers Association,226,American Boiler Manufacturers Association,American Boiler Manufacturers Association,100,Boiler,American Boiler Manufacturers Association,,ABMA,True,False,False,True,True
American Bureau of Shipping,227,American Bureau of Shipping,American Bureau of Shipping,100,American Bureau of Shipping,American Bureau of Shipping,ABS,ABS,True,True,False,False,False
American Bus Association,228,American Bus Association,American Bus Association,100,American Bus Association,American Bus Association,ABA,ABA,True,True,False,False,False
American Business Conference,229,American Business Conference,American Business Conference,81,American Athletic Conference,American Business Conference,,,True,False,False,True,False
American Butter Institute,230,American Butter Institute,American Butter Institute,63,Peanut butter,American Butter Institute,,,True,False,False,True,False
American Cancer Society,231,American Cancer Society,American Cancer Society,100,American Cancer Society,American Cancer Society,ACS,ACS,True,True,False,False,False
American Chamber of Commerce Executives,233,American Chamber of Commerce Executives,American Chamber of Commerce Executives,73,United States Chamber of Commerce,Association of Chamber of Commerce Executives,,ACCE,True,False,False,True,True
American Chemical Society,234,American Chemical Society,American Chemical Society,100,American Chemical Society,American Chemical Society,ACS,ACS,True,True,False,False,False
American Chemistry Council,235,American Chemistry Council,American Chemistry Council,100,American Chemistry Council,American Chemistry Council,ACC,ACC,True,True,False,False,False
American Chiropractic Association,236,American Chiropractic Association,American Chiropractic Association,100,American Chiropractic Association,American Chiropractic Association,ACA,ACA,True,True,False,False,False
American Citizens Abroad,237,American Citizens Abroad,American Citizens Abroad,100,American Citizens Abroad,American Citizens Abroad,ACA,ACA,True,True,False,False,False
American Civil Liberties Union,238,American Civil Liberties Union,American Civil Liberties Union,100,American Civil Liberties Union,American Civil Liberties Union,ACLU,ACLU,True,True,False,False,False
American Civil Liberties Union of the National Capital Area,239,American Civil Liberties Union of the National Capital Area,American Civil Liberties Union of the National Capital Area,100,American Civil Liberties Union,American Civil Liberties Union of the National Capital Area,,,True,False,False,True,False
American Clinical Laboratory Association,240,American Clinical Laboratory Association,American Clinical Laboratory Association,71,Medical laboratory,American Clinical Laboratory Association,,ACLA,True,False,False,True,True
American Coalition for Filipino Veterans,241,American Coalition for Filipino Veterans,American Coalition for Filipino Veterans,33,Vietnam veteran,American Coalition for Filipino Veterans,,,True,False,False,True,False
American Coke and Coal Chemicals Institute,243,American Coke and Coal Chemicals Institute,American Coke and Coal Chemicals Institute,62,Coke (fuel),American Coke and Coal Chemicals Institute,,,True,False,False,True,False
American College of Cardiology,244,American College of Cardiology,American College of Cardiology,100,American College of Cardiology,American College of Cardiology,ACC,ACC,True,True,False,False,False
American College of Clinical Pharmacy,245,American College of Clinical Pharmacy,American College of Clinical Pharmacy,100,Clinical pharmacy,American College of Clinical Pharmacy,,ACCP,True,False,False,True,True
American College of Dentists,247,American College of Dentists,American College of Dentists,100,College,American College of Dentists,,ACD,True,False,False,True,True
American College of Emergency Physicians,248,American College of Emergency Physicians,American College of Emergency Physicians,100,American College of Emergency Physicians,American College of Emergency Physicians,ACEP,ACEP,True,True,False,False,False
American College of Gastroenterology,249,American College of Gastroenterology,American College of Gastroenterology,100,American College of Gastroenterology,American College of Gastroenterology,ACG,ACG,True,True,False,False,False
American College of Nurse Practitioners,250,American College of Nurse Practitioners,American College of Nurse Practitioners,89,American Association of Nurse Practitioners,American Association of Nurse Practitioners,AANP,AANP,True,False,False,False,False
American College of Nurse-Midwives,252,American College of Nurse-Midwives,American College of Nurse-Midwives,100,American College of Nurse-Midwives,American College of Nurse-Midwives,ACNM,ACNM,True,True,False,False,False
American College of Obstetricians and Gynecologists,253,American College of Obstetricians and Gynecologists,American College of Obstetricians and Gynecologists,100,American College of Obstetricians and Gynecologists,American College of Obstetricians and Gynecologists,ACOG,ACOG,True,True,False,False,False
American College of Osteopathic Surgeons,255,American College of Osteopathic Surgeons,American College of Osteopathic Surgeons,76,Chicago College of Osteopathic Medicine,American College of Osteopathic Surgeons,,ACOS,True,False,False,True,True
