interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
Africare,64,Africare,Africare,100,Africare,Africare,MCC,,TRUE,TRUE,FALSE,FALSE,TRUE
Agribusiness Council,20110189,Agribusiness Council,Agribusiness Council,100,Agribusiness,,,ABC,TRUE,FALSE,FALSE,TRUE,TRUE
Agricultural Retailers Association,66,Agricultural Retailers Association,Agricultural Retailers Association,26,Amy Klobuchar,,SWAN,ARA,TRUE,FALSE,FALSE,TRUE,TRUE
Agricultural Transporters Conference,67,Agricultural Transporters Conference,Agricultural Transporters Conference,18,Adderall,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Agudath Israel of America,68,Agudath Israel of America,Agudath Israel of America,100,Agudath Israel of America,Agudath Israel of America,UTJ,,TRUE,TRUE,FALSE,FALSE,TRUE
AIDS Action Council,69,AIDS Action Council,AIDS Action Council,50,HIV/AIDS in Australia,,NCHECR,,TRUE,FALSE,FALSE,TRUE,TRUE
Air Carrier Association of America,71,Air Carrier Association of America,Air Carrier Association of America,71,Carrier Air Wing Two,,,ACAA,TRUE,FALSE,FALSE,TRUE,TRUE
Air Conditioning Contractors of America,72,Air Conditioning Contractors of America,Air Conditioning Contractors of America,66,"Heating, ventilation, and air conditioning",,ASHRAE,ACCA,TRUE,FALSE,FALSE,TRUE,TRUE
Air Force Association,73,Air Force Association,Air Force Association,86,Air & Space Forces Association,Air & Space Forces Association,STEM,AFA,TRUE,FALSE,FALSE,FALSE,TRUE
Air Force Sergeants Association,74,Air Force Sergeants Association,Air Force Sergeants Association,100,Air Force Sergeants Association,Air Force Sergeants Association,AFSA,ASFA,TRUE,TRUE,FALSE,FALSE,TRUE
Air Line Pilots Association International,75,Air Line Pilots Association International,Air Line Pilots Association International,100,"Air Line Pilots Association, International","Air Line Pilots Association, International",,ALPA,TRUE,FALSE,FALSE,FALSE,TRUE
Air Traffic Control Association,78,Air Traffic Control Association,Air Traffic Control Association,72,Air traffic controller,,,ATCA,TRUE,FALSE,FALSE,TRUE,TRUE
Air Transport Association of America,79,Air Transport Association of America,Air Transport Association of America,61,Airlines for America,Airlines for America,ATA,A4A,TRUE,FALSE,FALSE,FALSE,TRUE
Aircraft Owners and Pilots Association,83,Aircraft Owners and Pilots Association,Aircraft Owners and Pilots Association,100,Aircraft Owners and Pilots Association,Aircraft Owners and Pilots Association,AOPA,AOPA,TRUE,TRUE,FALSE,FALSE,FALSE
Airport Consultants Council,84,Airport Consultants Council,Airport Consultants Council,74,Pune Airport,,,ACC,TRUE,FALSE,FALSE,TRUE,TRUE
Alarm Industry Communications Committee,85,Alarm Industry Communications Committee,Alarm Industry Communications Committee,45,Fire alarm system,,,AICC,TRUE,FALSE,FALSE,TRUE,TRUE
Alaska Wilderness League,86,Alaska Wilderness League,Alaska Wilderness League,100,Alaska Wilderness League,Alaska Wilderness League,AWL,AWL,TRUE,TRUE,FALSE,FALSE,FALSE
Alexander Graham Bell Association for the Deaf,92,Alexander Graham Bell Association for the Deaf,Alexander Graham Bell Association for the Deaf,100,Alexander Graham Bell Association for the Deaf and Hard of Hearing,Alexander Graham Bell Association for the Deaf and Hard of Hearing,AAPTSD,AG Bell,TRUE,TRUE,FALSE,FALSE,TRUE
Alliance for Affordable Services,98,Alliance for Affordable Services,Alliance for Affordable Services,100,Alliance for Affordable Services,Alliance for Affordable Services,,,TRUE,TRUE,FALSE,FALSE,FALSE
Alliance for Aging Research,99,Alliance for Aging Research,Alliance for Aging Research,100,Alliance for Aging Research,Alliance for Aging Research,NIA,,TRUE,TRUE,FALSE,FALSE,TRUE
Alliance for Children and Families,101,Alliance for Children and Families,Alliance for Children and Families,25,Peter Goldberg,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Alliance for Community Media,102,Alliance for Community Media,Alliance for Community Media,100,Alliance for Community Media,Alliance for Community Media,ACM,ACM,TRUE,TRUE,FALSE,FALSE,FALSE
"Alliance for International Educational and Cultural Exchange, The",105,"Alliance for International Educational and Cultural Exchange, The","Alliance for International Educational and Cultural Exchange, The",100,Alliance for International Educational and Cultural Exchange,Alliance for International Exchange,,,TRUE,FALSE,FALSE,TRUE,FALSE
Alliance for Justice,106,Alliance for Justice,Alliance for Justice,100,Alliance for Justice,Alliance for Justice,AFJ,AFJ,TRUE,TRUE,FALSE,FALSE,FALSE
Alliance for Nuclear Accountability,107,Alliance for Nuclear Accountability,Alliance for Nuclear Accountability,100,Alliance for Nuclear Accountability,Alliance for Nuclear Accountability,ANA,ANA,TRUE,TRUE,FALSE,FALSE,FALSE
Alliance for Public Technology,108,Alliance for Public Technology,Alliance for Public Technology,69,Alliance College-Ready Public Schools,,,APT,TRUE,FALSE,FALSE,TRUE,TRUE
Alliance for Rail Competition,109,Alliance for Rail Competition,Alliance for Rail Competition,42,"Dakota, Minnesota and Eastern Railroad",,,,TRUE,FALSE,FALSE,TRUE,FALSE
Alliance for Responsible Atmospheric Policy,110,Alliance for Responsible Atmospheric Policy,Alliance for Responsible Atmospheric Policy,53,National Oceanic and Atmospheric Administration,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Alliance for Retired Americans,111,Alliance for Retired Americans,Alliance for Retired Americans,100,Alliance for Retired Americans,Alliance for Retired Americans,ARA,ARA,TRUE,TRUE,FALSE,FALSE,FALSE
Alliance for Telecommunications Industry Solutions,112,Alliance for Telecommunications Industry Solutions,Alliance for Telecommunications Industry Solutions,100,Alliance for Telecommunications Industry Solutions,Alliance for Telecommunications Industry Solutions,ATIS,ATIS,TRUE,TRUE,FALSE,FALSE,FALSE
"Alliance of Automobile Manufacturers, Inc.",115,"Alliance of Automobile Manufacturers, Inc.",Alliance of Automobile Manufacturers,86,List of automobile manufacturers of France,The Auto Alliance,,AAM,TRUE,FALSE,TRUE,TRUE,TRUE
Alliance of Marine Mammal Parks and Aquariums,116,Alliance of Marine Mammal Parks and Aquariums,Alliance of Marine Mammal Parks and Aquariums,84,Marine mammal park,,,AMMPA,TRUE,FALSE,FALSE,TRUE,TRUE
Alliance of Nonprofit Mailers,117,Alliance of Nonprofit Mailers,Alliance of Nonprofit Mailers,38,Daniel Katz (environmental activist),,,,TRUE,FALSE,FALSE,TRUE,FALSE
Alliance to End Childhood Lead Poisoning,118,Alliance to End Childhood Lead Poisoning,Alliance to End Childhood Lead Poisoning,28,Herbert Needleman,,CDC,,TRUE,FALSE,FALSE,TRUE,TRUE
Alzheimer's Association,130,Alzheimer's Association,Alzheimer's Association,100,Alzheimer's Association,Alzheimer's Association,NIH,,TRUE,TRUE,FALSE,FALSE,TRUE
Amalgamated Transit Union,131,Amalgamated Transit Union,Amalgamated Transit Union,100,Amalgamated Transit Union,Amalgamated Transit Union,ATU,ATU,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy for Liberal Education,134,American Academy for Liberal Education,American Academy for Liberal Education,100,American Academy for Liberal Education,American Academy for Liberal Education,AALE,AALE,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Actuaries,135,American Academy of Actuaries,American Academy of Actuaries,100,American Academy of Actuaries,American Academy of Actuaries,ASB,,TRUE,TRUE,FALSE,FALSE,TRUE
American Academy of Audiology,136,American Academy of Audiology,American Academy of Audiology,100,Audiology,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Academy of Child and Adolescent Psychiatry,137,American Academy of Child and Adolescent Psychiatry,American Academy of Child and Adolescent Psychiatry,100,American Academy of Child and Adolescent Psychiatry,American Academy of Child and Adolescent Psychiatry,AACAP,AACAP,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Dermatology,138,American Academy of Dermatology,American Academy of Dermatology,100,American Academy of Dermatology,American Academy of Dermatology,AAD,AAD,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Facial Plastic and Reconstructive Surgery,139,American Academy of Facial Plastic and Reconstructive Surgery,American Academy of Facial Plastic and Reconstructive Surgery,100,American Academy of Facial Plastic and Reconstructive Surgery,American Academy of Facial Plastic and Reconstructive Surgery,,AAFPRS,TRUE,TRUE,FALSE,FALSE,TRUE
American Academy of Family Physicians,140,American Academy of Family Physicians,American Academy of Family Physicians,100,American Academy of Family Physicians,American Academy of Family Physicians,AAFP,AAFP,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Nurse Practitioners,142,American Academy of Nurse Practitioners,American Academy of Nurse Practitioners,89,American Association of Nurse Practitioners,American Association of Nurse Practitioners,AANP,AANP,TRUE,FALSE,FALSE,FALSE,FALSE
American Academy of Ophthamology - Office of Federal Affairs,143,American Academy of Ophthamology - Office of Federal Affairs,American Academy of Ophthamology - Office of Federal Affairs,0,,American Academy of Ophthamology,,AAO,FALSE,FALSE,FALSE,TRUE,TRUE
American Academy of Orthopaedic Surgeons,145,American Academy of Orthopaedic Surgeons,American Academy of Orthopaedic Surgeons,100,American Academy of Orthopaedic Surgeons,American Academy of Orthopaedic Surgeons,AAOS,AAOS,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Otolaryngic Allergy,146,American Academy of Otolaryngic Allergy,American Academy of Otolaryngic Allergy,56,International Forum of Allergy & Rhinology,,,AAOA,TRUE,FALSE,FALSE,TRUE,TRUE
American Academy of Otolaryngology-Head and Neck Surgery,147,American Academy of Otolaryngology-Head and Neck Surgery,American Academy of Otolaryngology-Head and Neck Surgery,100,Otolaryngology–Head and Neck Surgery,,,AAO-HNS,TRUE,FALSE,FALSE,TRUE,TRUE
American Academy of Pediatrics,148,American Academy of Pediatrics,American Academy of Pediatrics,100,American Academy of Pediatrics,American Academy of Pediatrics,AAP,AAP,TRUE,TRUE,FALSE,FALSE,FALSE
American Academy of Physician Assistants,149,American Academy of Physician Assistants,American Academy of Physician Assistants,64,Physician assistant,,,AAPA,TRUE,FALSE,FALSE,TRUE,TRUE
American Advertising Federation,151,American Advertising Federation,American Advertising Federation,100,American Advertising Federation,American Advertising Federation,AAF,AAF,TRUE,TRUE,FALSE,FALSE,FALSE
American AIDS Political Action Committee,152,American AIDS Political Action Committee,American AIDS Political Action Committee,22,ACT UP,AIDS Coalition to Unleash Power,,ACT UP,TRUE,FALSE,FALSE,TRUE,TRUE
"American Alliance for Health, Physical Education, Recreation and Dance",154,"American Alliance for Health, Physical Education, Recreation and Dance","American Alliance for Health, Physical Education, Recreation and Dance",30,SHAPE America,Society of Health and Physical Educators,,SHAPE America,TRUE,FALSE,FALSE,TRUE,TRUE
American Ambulance Association,155,American Ambulance Association,American Ambulance Association,100,American Ambulance Association,American Ambulance Association,AAA,AAA,TRUE,TRUE,FALSE,FALSE,FALSE
American Anthropological Association,156,American Anthropological Association,American Anthropological Association,100,American Anthropological Association,American Anthropological Association,AAA,AAA,TRUE,TRUE,FALSE,FALSE,FALSE
American Apparel & Footwear Association,157,American Apparel & Footwear Association,American Apparel & Footwear Association,100,American Apparel & Footwear Association,American Apparel & Footwear Association,AAFA,AAFA,TRUE,TRUE,FALSE,FALSE,FALSE
American Arbitration Association,158,American Arbitration Association,American Arbitration Association,100,American Arbitration Association,American Arbitration Association,AAA,AAA,TRUE,TRUE,FALSE,FALSE,FALSE
American Arts Alliance,159,American Arts Alliance,American Arts Alliance,89,Mid-America Arts Alliance,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association for Adult and Continuing Education,161,American Association for Adult and Continuing Education,American Association for Adult and Continuing Education,100,Continuing education,,,AAACE,TRUE,FALSE,FALSE,TRUE,TRUE
"American Association for Clinical Chemistry, Inc.",162,"American Association for Clinical Chemistry, Inc.",American Association for Clinical Chemistry,25,Troponin T,,,AACC,TRUE,FALSE,TRUE,TRUE,TRUE
American Association for Dental Research,163,American Association for Dental Research,American Association for Dental Research,100,American Dental Association,"The American Association for Dental, Oral, and Craniofacial Research",,AADOCR,TRUE,FALSE,FALSE,TRUE,TRUE
American Association for Geriatric Psychiatry,164,American Association for Geriatric Psychiatry,American Association for Geriatric Psychiatry,100,Geriatric psychiatry,,AAGP,AAGP,TRUE,FALSE,FALSE,TRUE,FALSE
American Association for Health Education,165,American Association for Health Education,American Association for Health Education,100,Health education,,,AAHE,TRUE,FALSE,FALSE,TRUE,TRUE
American Association for Homecare,167,American Association for Homecare,American Association for Homecare,36,Modern Healthcare,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association for Marriage and Family Therapy,169,American Association for Marriage and Family Therapy,American Association for Marriage and Family Therapy,100,American Association for Marriage and Family Therapy,American Association for Marriage and Family Therapy,AAMFT,AAMFT,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Advertising Agencies,172,American Association of Advertising Agencies,American Association of Advertising Agencies,100,American Association of Advertising Agencies,American Association of Advertising Agencies,,AAAA,TRUE,TRUE,FALSE,FALSE,TRUE
American Association of Airport Executives,173,American Association of Airport Executives,American Association of Airport Executives,100,American Association of Airport Executives,American Association of Airport Executives,AAAE,AAAE,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Bank Directors,174,American Association of Bank Directors,American Association of Bank Directors,64,Bank of America,,,AABD,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Blacks in Energy,176,American Association of Blacks in Energy,American Association of Blacks in Energy,52,African American–Jewish relations,,,AABE,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Blood Banks,177,American Association of Blood Banks,American Association of Blood Banks,21,AABB,,CLIA,AABB,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Colleges for Teacher Education,179,American Association of Colleges for Teacher Education,American Association of Colleges for Teacher Education,100,American Association of Colleges for Teacher Education,American Association of Colleges for Teacher Education,AACTE,AACTE,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Colleges of Nursing,180,American Association of Colleges of Nursing,American Association of Colleges of Nursing,100,American Association of Colleges of Nursing,American Association of Colleges of Nursing,AACN,AACN,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Colleges of Osteopathic Medicine,181,American Association of Colleges of Osteopathic Medicine,American Association of Colleges of Osteopathic Medicine,100,American Association of Colleges of Osteopathic Medicine,American Association of Colleges of Osteopathic Medicine,AACOM,AACOM,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Colleges of Pharmacy,182,American Association of Colleges of Pharmacy,American Association of Colleges of Pharmacy,100,American Association of Colleges of Pharmacy,American Association of Colleges of Pharmacy,AACP,AACP,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Collegiate Registrars and Admissions Officers,184,American Association of Collegiate Registrars and Admissions Officers,American Association of Collegiate Registrars and Admissions Officers,32,Academic grading in Japan,,,AACRAO,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Community Colleges,185,American Association of Community Colleges,American Association of Community Colleges,100,American Association of Community Colleges,American Association of Community Colleges,AACC,AACC,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Crop Insurers,186,American Association of Crop Insurers,American Association of Crop Insurers,30,Insurance,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of Early Childhood Educators,187,American Association of Early Childhood Educators,American Association of Early Childhood Educators,75,Early childhood education,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of Entrepreneurs,190,American Association of Entrepreneurs,American Association of Entrepreneurs,49,Entrepreneurship,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of Family and Consumer Sciences,191,American Association of Family and Consumer Sciences,American Association of Family and Consumer Sciences,100,American Association of Family and Consumer Sciences,American Association of Family and Consumer Sciences,AAFCS,AAFCS,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Homes and Services for the Aging,194,American Association of Homes and Services for the Aging,American Association of Homes and Services for the Aging,91,International Association of Homes and Services for the Aging,LeadingAge,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of Immunologists,195,American Association of Immunologists,American Association of Immunologists,100,American Association of Immunologists,American Association of Immunologists,AAI,AAI,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Law Libraries,196,American Association of Law Libraries,American Association of Law Libraries,100,American Association of Law Libraries,American Association of Law Libraries,AALL,AALL,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Motor Vehicle Administrators,197,American Association of Motor Vehicle Administrators,American Association of Motor Vehicle Administrators,100,American Association of Motor Vehicle Administrators,American Association of Motor Vehicle Administrators,AAMVA,AAMVA,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Museums,198,American Association of Museums,American Association of Museums,81,American Alliance of Museums,American Alliance of Museums,MAP,AAM,TRUE,FALSE,FALSE,FALSE,TRUE
American Association of Neurological Surgeons/Congress of Neurological Surgeons,199,American Association of Neurological Surgeons/Congress of Neurological Surgeons,American Association of Neurological Surgeons/Congress of Neurological Surgeons,30,Neurosurgery,American Association of Neurological Surgeons,,AANS,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Nurse Anesthetists,200,American Association of Nurse Anesthetists,American Association of Nurse Anesthetists,58,Nurse anesthetist,,CRNA,AANS,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Pastoral Counselors,201,American Association of Pastoral Counselors,American Association of Pastoral Counselors,100,American Association of Pastoral Counselors,American Association of Pastoral Counselors,ACPE,AAPC,TRUE,TRUE,FALSE,FALSE,TRUE
American Association of Pharmaceutical Scientists,202,American Association of Pharmaceutical Scientists,American Association of Pharmaceutical Scientists,21,Dysphoria,,,AAPS,TRUE,FALSE,FALSE,TRUE,TRUE
American Association of Physics Teachers,203,American Association of Physics Teachers,American Association of Physics Teachers,100,American Association of Physics Teachers,American Association of Physics Teachers,AAPT,AAPT,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Political Consultants,204,American Association of Political Consultants,American Association of Political Consultants,100,American Association of Political Consultants,American Association of Political Consultants,AAPC,AAPC,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Port Authorities,205,American Association of Port Authorities,American Association of Port Authorities,100,American Association of Port Authorities,American Association of Port Authorities,AAPA,AAPA,TRUE,TRUE,FALSE,FALSE,FALSE
"American Association of Private Railroad Car Owners, Inc.",206,"American Association of Private Railroad Car Owners, Inc.","American Association of Private Railroad Car Owners, Inc.",71,Passenger railroad car,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of Residential Mortgage Regulators,207,American Association of Residential Mortgage Regulators,American Association of Residential Mortgage Regulators,41,Nationwide Multi-State Licensing System and Registry,,AARMR,AARMR,TRUE,FALSE,FALSE,TRUE,FALSE
American Association of School Administrators,208,American Association of School Administrators,American Association of School Administrators,100,American Association of School Administrators,School Superintendents Association,AASA,AASA,TRUE,TRUE,FALSE,TRUE,FALSE
American Association of State Colleges and Universities,209,American Association of State Colleges and Universities,American Association of State Colleges and Universities,100,American Association of State Colleges and Universities,American Association of State Colleges and Universities,AASCU,AASCU,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of State Highway and Transportation Officials,210,American Association of State Highway and Transportation Officials,American Association of State Highway and Transportation Officials,100,American Association of State Highway and Transportation Officials,American Association of State Highway and Transportation Officials,AASHTO,AASHTO,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of Tissue Banks,211,American Association of Tissue Banks,American Association of Tissue Banks,100,American Association of Tissue Banks,American Association of Tissue Banks,AATB,AATB,TRUE,TRUE,FALSE,FALSE,FALSE
American Association of University Women,214,American Association of University Women,American Association of University Women,100,American Association of University Women,American Association of University Women,AAUW,AAUW,TRUE,TRUE,FALSE,FALSE,FALSE
American Association on Mental Retardation,215,American Association on Mental Retardation,American Association on Mental Retardation,71,American Association on Intellectual and Developmental Disabilities,American Association on Intellectual and Developmental Disabilities,AJIDD,AAIDD,TRUE,FALSE,FALSE,FALSE,TRUE
American Astronautical Society,216,American Astronautical Society,American Astronautical Society,100,American Astronautical Society,American Astronautical Society,AAS,AAS,TRUE,TRUE,FALSE,FALSE,FALSE
American Astronomical Society,217,American Astronomical Society,American Astronomical Society,100,American Astronomical Society,American Astronomical Society,,AAS,TRUE,TRUE,FALSE,FALSE,TRUE
American Bakers Association,20110326,American Bakers Association,American Bakers Association,37,List of bakeries,,,ABA,TRUE,FALSE,FALSE,TRUE,TRUE
American Bankruptcy Institute,220,American Bankruptcy Institute,American Bankruptcy Institute,100,American Bankruptcy Institute,American Bankruptcy Institute,ABI,ABI,TRUE,TRUE,FALSE,FALSE,FALSE
American Bar Association,221,American Bar Association,American Bar Association,100,American Bar Association,American Bar Association,ABA,ABA,TRUE,TRUE,FALSE,FALSE,FALSE
American Benefits Council,222,American Benefits Council,American Benefits Council,100,American Benefits Council,American Benefits Council,APPWP,,TRUE,TRUE,FALSE,FALSE,TRUE
American Bird Conservancy,223,American Bird Conservancy,American Bird Conservancy,100,American Bird Conservancy,American Bird Conservancy,ABC,,TRUE,TRUE,FALSE,FALSE,TRUE
"American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)",224,"American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)","American Board for Certification in Orthotics and Prosthetics, Inc. (ABC)",25,Prosthetist,American Board for Certification in Orthotics and Prosthetics,,ABCOP,TRUE,FALSE,FALSE,TRUE,TRUE
American Board of Opticianry,225,American Board of Opticianry,American Board of Opticianry,100,American Board of Opticianry,American Board of Opticianry,ABO,ABO,TRUE,TRUE,FALSE,FALSE,FALSE
American Boiler Manufacturers Association,226,American Boiler Manufacturers Association,American Boiler Manufacturers Association,100,Boiler,,,ABMA,TRUE,FALSE,FALSE,TRUE,TRUE
American Bureau of Shipping,227,American Bureau of Shipping,American Bureau of Shipping,100,American Bureau of Shipping,American Bureau of Shipping,ABS,ABS,TRUE,TRUE,FALSE,FALSE,FALSE
American Bus Association,228,American Bus Association,American Bus Association,100,American Bus Association,American Bus Association,ABA,ABA,TRUE,TRUE,FALSE,FALSE,FALSE
American Business Conference,229,American Business Conference,American Business Conference,81,American Athletic Conference,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Butter Institute,230,American Butter Institute,American Butter Institute,63,Peanut butter,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Cancer Society,231,American Cancer Society,American Cancer Society,100,American Cancer Society,American Cancer Society,ACS,ACS,TRUE,TRUE,FALSE,FALSE,FALSE
American Chamber of Commerce Executives,233,American Chamber of Commerce Executives,American Chamber of Commerce Executives,73,United States Chamber of Commerce,Association of Chamber of Commerce Executives,,ACCE,TRUE,FALSE,FALSE,TRUE,TRUE
American Chemical Society,234,American Chemical Society,American Chemical Society,100,American Chemical Society,American Chemical Society,ACS,ACS,TRUE,TRUE,FALSE,FALSE,FALSE
