granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-02-12-pt1-PgH778-5,CREC-2016-02-12,2234,SPEAKING,H,114,G000575,"Graham, Gwen",FL,D,,,"Graham, Gwen",,Ms. GRAHAM,Gwen Graham
CREC-2016-02-12-pt1-PgH778-6,CREC-2016-02-12,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,,"LaMalfa, Doug",,Mr. LaMALFA,Doug LaMalfa
CREC-2016-02-12-pt1-PgH779-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH803-2,CREC-2016-02-12,566,SPEAKING,H,114,H000874,"Hoyer, Steny H.",MD,D,,7980,"Hoyer, Steny H.",Steny Hoyer,Mr. HOYER,Steny H. Hoyer
CREC-2016-02-12-pt1-PgH803-4,CREC-2016-02-12,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,7968,"McGovern, James P.",James Mcgovern,Mr. McGOVERN,James P. McGovern
CREC-2016-02-12-pt1-PgH803-3,CREC-2016-02-12,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,8142,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2016-02-12-pt1-PgH803,CREC-2016-02-12,2151,SPEAKING,H,114,C001092,"Collins, Chris",NY,R,,,"Collins, Chris",,Mr. COLLINS of New York,Chris Collins
CREC-2016-02-12-pt1-PgH802,CREC-2016-02-12,1528,SPEAKING,H,114,S000510,"Smith, Adam",WA,D,,8213,"Smith, Adam",,Mr. SMITH of Washington,Adam Smith
CREC-2016-02-12-pt1-PgH802,CREC-2016-02-12,2163,SPEAKING,H,114,C001091,"Castro, Joaquin",TX,D,,,"Castro, Joaquin",,Mr. CASTRO of Texas,Joaquin Castro
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1922,SPEAKING,H,114,G000558,"Guthrie, Brett",KY,R,,7954,"Guthrie, Brett",,Mr. GUTHRIE,Brett Guthrie
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1588,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,,7929,"Schakowsky, Janice D.",Janice Schakowsky,Ms. SCHAKOWSKY,Janice D. Schakowsky
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1177,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,,7991,"Upton, Fred",,Mr. UPTON,Fred Upton
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,8174,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1838,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,,7881,"Bilirakis, Gus M.",Mr. Gus Bilirakis,Mr. BILIRAKIS,Gus M. Bilirakis
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,2227,SPEAKING,H,114,D000623,"DeSaulnier, Mark",CA,D,,,"DeSaulnier, Mark",,Mr. DeSAULNIER,Mark DeSaulnier
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1522,SPEAKING,H,114,S000030,"Sanchez, Loretta",CA,D,,7852,"Sanchez, Loretta",,Ms. LORETTA SANCHEZ of California,Loretta Sanchez
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,,7868,"DeLauro, Rosa L.",Rosa Delauro,Ms. DeLAURO,Rosa L. DeLauro
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,2241,SPEAKING,H,114,B001294,"Blum, Rod",IA,R,,,"Blum, Rod",,Mr. BLUM,Rod Blum
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1855,SPEAKING,H,114,W000798,"Walberg, Tim",MI,R,,7992,"Walberg, Tim",,Mr. WALBERG,Tim Walberg
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1514,SPEAKING,H,114,P000373,"Pitts, Joseph R.",PA,R,,8134,"Pitts, Joseph R.",Joseph Pitts,Mr. PITTS,Joseph R. Pitts
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,,SPEAKING,H,114,,,,,,,,,Mrs. McMORRIS RODGERS,
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,1950,SPEAKING,H,114,S001180,"Schrader, Kurt",OR,D,,8118,"Schrader, Kurt",,Mr. SCHRADER,Kurt Schrader
CREC-2016-02-12-pt1-PgH789,CREC-2016-02-12,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,,7997,"Levin, Sander M.",Sander Levin,Mr. LEVIN,Sander M. Levin
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,998,SPEAKING,H,114,R000487,"Royce, Edward R.",CA,R,,7845,"Royce, Edward R.",Ed Royce,Mr. ROYCE,Edward R. Royce
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,344,SPEAKING,H,114,E000179,"Engel, Eliot L.",NY,D,,8078,"Engel, Eliot L.",Eliot Engel,Mr. ENGEL,Eliot L. Engel
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,1071,SPEAKING,H,114,S000522,"Smith, Christopher H.",NJ,R,,8046,"Smith, Christopher H.",Christopher Smith,Mr. SMITH of New Jersey,Christopher H. Smith
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,8142,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,8158,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2016-02-12-pt1-PgH779-3,CREC-2016-02-12,1009,SPEAKING,H,114,S000018,"Salmon, Matt",AZ,R,,,"Salmon, Matt",,Mr. SALMON,Matt Salmon
CREC-2016-02-12-pt1-PgH803-5,CREC-2016-02-12,2223,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,,"Hill, J. French",,Mr. HILL,J. French Hill
CREC-2016-02-12-pt1-PgH804,CREC-2016-02-12,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,,,"Kennedy, Joseph P., III",Joseph Kennedy III,Mr. KENNEDY,Joseph P. Kennedy III
CREC-2016-02-12-pt1-PgH804-2,CREC-2016-02-12,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,,8003,"Paulsen, Erik",,Mr. PAULSEN,Erik Paulsen
CREC-2016-02-12-pt1-PgH804-3,CREC-2016-02-12,1835,SPEAKING,H,114,P000593,"Perlmutter, Ed",CO,D,,7865,"Perlmutter, Ed",,Mr. PERLMUTTER,Ed Perlmutter
CREC-2016-02-12-pt1-PgH804-5,CREC-2016-02-12,1471,SPEAKING,H,114,C001036,"Capps, Lois",CA,D,,7828,"Capps, Lois",,Mrs. CAPPS,Lois Capps
CREC-2016-02-12-pt1-PgH804-4,CREC-2016-02-12,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,8158,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2016-02-12-pt1-PgH805,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH805-2,CREC-2016-02-12,1995,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,,7824,"Denham, Jeff",,Mr. DENHAM,Jeff Denham
CREC-2016-02-12-pt1-PgH805-3,CREC-2016-02-12,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,8174,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-02-12-pt1-PgH805-4,CREC-2016-02-12,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,7930,"Dold, Robert J.",Mr. Robert Dold,Mr. DOLD,Robert J. Dold
CREC-2016-02-12-pt1-PgH805-5,CREC-2016-02-12,1522,SPEAKING,H,114,S000030,"Sanchez, Loretta",CA,D,,7852,"Sanchez, Loretta",,Ms. LORETTA SANCHEZ of California,Loretta Sanchez
CREC-2016-02-12-pt1-PgH805-6,CREC-2016-02-12,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,,8126,"Fitzpatrick, Michael G.",Mr. Michael Fitzpatrick,Mr. FITZPATRICK,Michael G. Fitzpatrick
CREC-2016-02-12-pt1-PgH806,CREC-2016-02-12,2008,SPEAKING,H,114,W000810,"Woodall, Rob",GA,R,,7904,"Woodall, Rob",,Mr. WOODALL,Rob Woodall
CREC-2016-02-12-pt1-PgH811,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH813,CREC-2016-02-12,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,8157,"Gohmert, Louie",,Mr. GOHMERT,Louie Gohmert
CREC-2016-02-12-pt1-PgH811-2,CREC-2016-02-12,2245,SPEAKING,H,114,G000577,"Graves, Garret",LA,R,,,"Graves, Garret",,Mr. GRAVES of Louisiana,Garret Graves
CREC-2016-02-12-pt1-PgH815,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH815-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH815-3,CREC-2016-02-12,1801,SPEAKING,H,114,G000552,"Gohmert, Louie",TX,R,,8157,"Gohmert, Louie",,Mr. GOHMERT,Louie Gohmert
CREC-2016-02-12-pt1-PgH815-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH816,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817-5,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH817-6,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-5,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-6,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-7,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-8,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-9,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-10,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-12,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-11,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-13,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-14,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-15,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-16,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-17,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-20,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-18,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-19,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-21,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-22,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-23,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-24,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH818-25,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS-FrontMatter,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885-5,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS886,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS885-6,CREC-2016-02-12,735,SPEAKING,S,114,M000133,"Markey, Edward J.",MA,D,,7972,"Markey, Edward J.",Mr. Edward Markey,Mr. MARKEY,Edward J. Markey
CREC-2016-02-12-pt1-PgS886-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS886-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS886-5,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS886-4,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS886-6,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS887,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS887-2,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS887-3,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS887-6,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgS887-4,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgS887-5,CREC-2016-02-12,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,8254,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2016-02-12-pt1-PgE173-2,CREC-2016-02-12,1653,SPEAKING,H,114,M001143,"McCollum, Betty",MN,D,,8004,"McCollum, Betty",,Ms. McCOLLUM,Betty McCollum
CREC-2016-02-12-pt1-PgE173-3,CREC-2016-02-12,2251,SPEAKING,H,114,D000624,"Dingell, Debbie",MI,D,,,"Dingell, Debbie",,Mrs. DINGELL,Debbie Dingell
CREC-2016-02-12-pt1-PgE173-4,CREC-2016-02-12,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,,8099,"Kaptur, Marcy",,Ms. KAPTUR,Marcy Kaptur
CREC-2016-02-12-pt1-PgE174,CREC-2016-02-12,2269,SPEAKING,H,114,H001073,"Hurd, Will",TX,R,,,"Hurd, Will",,Mr. HURD of Texas,Will Hurd
CREC-2016-02-12-pt1-PgE173-5,CREC-2016-02-12,867,SPEAKING,H,114,N000127,"Nolan, Richard M.",MN,D,,,"Nolan, Richard M.",Richard Nolan,Mr. NOLAN,Richard M. Nolan
CREC-2016-02-12-pt1-PgE174-2,CREC-2016-02-12,1685,SPEAKING,H,114,M001144,"Miller, Jeff",FL,R,,7873,"Miller, Jeff",,Mr. MILLER of Florida,Jeff Miller
CREC-2016-02-12-pt1-PgE174-3,CREC-2016-02-12,1071,SPEAKING,H,114,S000522,"Smith, Christopher H.",NJ,R,,8046,"Smith, Christopher H.",Christopher Smith,Mr. SMITH of New Jersey,Christopher H. Smith
CREC-2016-02-12-pt1-PgE175,CREC-2016-02-12,2262,SPEAKING,H,114,R000602,"Rice, Kathleen M.",NY,D,,,"Rice, Kathleen M.",Miss Kathleen Rice,Miss RICE of New York,Kathleen M. Rice
CREC-2016-02-12-pt1-PgE175-2,CREC-2016-02-12,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,,,"Gallego, Ruben",,Mr. GALLEGO,Ruben Gallego
CREC-2016-02-12-pt1-PgE175-3,CREC-2016-02-12,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,,7868,"DeLauro, Rosa L.",Rosa Delauro,Ms. DeLAURO,Rosa L. DeLauro
CREC-2016-02-12-pt1-PgE175-4,CREC-2016-02-12,1761,SPEAKING,H,114,B001251,"Butterfield, G. K.",NC,D,,8024,"Butterfield, G. K.",,Mr. BUTTERFIELD,G. K. Butterfield
CREC-2016-02-12-pt1-PgE176-2,CREC-2016-02-12,1807,SPEAKING,H,114,C001063,"Cuellar, Henry",TX,D,,8184,"Cuellar, Henry",,Mr. CUELLAR,Henry Cuellar
CREC-2016-02-12-pt1-PgE176,CREC-2016-02-12,1460,SPEAKING,H,114,A000055,"Aderholt, Robert B.",AL,R,,7789,"Aderholt, Robert B.",Robert Aderholt,Mr. ADERHOLT,Robert B. Aderholt
CREC-2016-02-12-pt1-PgE176-4,CREC-2016-02-12,2153,SPEAKING,H,114,B001281,"Beatty, Joyce",OH,D,,,"Beatty, Joyce",,Mrs. BEATTY,Joyce Beatty
CREC-2016-02-12-pt1-PgE176-3,CREC-2016-02-12,1995,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,,7824,"Denham, Jeff",,Mr. DENHAM,Jeff Denham
CREC-2016-02-12-pt1-PgE177,CREC-2016-02-12,1477,SPEAKING,H,114,D000096,"Davis, Danny K.",IL,D,,7927,"Davis, Danny K.",Danny Davis,Mr. DANNY K. DAVIS of Illinois,Danny K. Davis
CREC-2016-02-12-pt1-PgE177-2,CREC-2016-02-12,800,SPEAKING,H,114,M000689,"Mica, John L.",FL,R,,7879,"Mica, John L.",John Mica,Mr. MICA,John L. Mica
CREC-2016-02-12-pt1-PgE177-3,CREC-2016-02-12,2295,SPEAKING,H,114,L000585,"LaHood, Darin",IL,R,,,"LaHood, Darin",,Mr. LaHOOD,Darin LaHood
CREC-2016-02-12-pt1-PgE177-4,CREC-2016-02-12,1807,SPEAKING,H,114,C001063,"Cuellar, Henry",TX,D,,8184,"Cuellar, Henry",,Mr. CUELLAR,Henry Cuellar
CREC-2016-02-12-pt1-PgE178,CREC-2016-02-12,1724,SPEAKING,H,114,K000362,"King, Steve",IA,R,,7918,"King, Steve",,Mr. KING of Iowa,Steve King
CREC-2016-02-12-pt1-PgE178-2,CREC-2016-02-12,2070,SPEAKING,H,114,G000568,"Griffith, H. Morgan",VA,R,,8200,"Griffith, H. Morgan",,Mr. GRIFFITH,H. Morgan Griffith
CREC-2016-02-12-pt1-PgE178-4,CREC-2016-02-12,979,SPEAKING,H,114,R000409,"Rohrabacher, Dana",CA,R,,7851,"Rohrabacher, Dana",,Mr. ROHRABACHER,Dana Rohrabacher
CREC-2016-02-12-pt1-PgE178-3,CREC-2016-02-12,2191,SPEAKING,H,114,S001195,"Smith, Jason",MO,R,,,"Smith, Jason",,Mr. SMITH of Missouri,Jason Smith
CREC-2016-02-12-pt1-PgE179,CREC-2016-02-12,2295,SPEAKING,H,114,L000585,"LaHood, Darin",IL,R,,,"LaHood, Darin",,Mr. LaHOOD,Darin LaHood
CREC-2016-02-12-pt1-PgE178-5,CREC-2016-02-12,2126,SPEAKING,H,114,D000619,"Davis, Rodney",IL,R,,,"Davis, Rodney",,Mr. RODNEY DAVIS of Illinois,Rodney Davis
CREC-2016-02-12-pt1-PgE179-2,CREC-2016-02-12,905,SPEAKING,H,114,P000197,"Pelosi, Nancy",CA,D,,7813,"Pelosi, Nancy",,Ms. PELOSI,Nancy Pelosi
CREC-2016-02-12-pt1-PgE179-3,CREC-2016-02-12,1912,SPEAKING,H,114,C001077,"Coffman, Mike",CO,R,,7864,"Coffman, Mike",,Mr. COFFMAN,Mike Coffman
CREC-2016-02-12-pt1-PgE179-4,CREC-2016-02-12,2263,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,,,"Stefanik, Elise M.",Ms. Elise Stefanik,Ms. STEFANIK,Elise M. Stefanik
CREC-2016-02-12-pt1-PgE179-5,CREC-2016-02-12,2009,SPEAKING,H,114,S001189,"Scott, Austin",GA,R,,7905,"Scott, Austin",,Mr. AUSTIN SCOTT of Georgia,Austin Scott
CREC-2016-02-12-pt1-PgE180,CREC-2016-02-12,1976,SPEAKING,H,114,D000610,"Deutch, Theodore E.",FL,D,,7891,"Deutch, Theodore E.",Mr. Theodore Deutch,Mr. DEUTCH,Theodore E. Deutch
CREC-2016-02-12-pt1-PgE180-2,CREC-2016-02-12,2227,SPEAKING,H,114,D000623,"DeSaulnier, Mark",CA,D,,,"DeSaulnier, Mark",,Mr. DeSAULNIER,Mark DeSaulnier
CREC-2016-02-12-pt1-PgD141,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgE180-3,CREC-2016-02-12,2145,SPEAKING,H,114,K000382,"Kuster, Ann M.",NH,D,,,"Kuster, Ann M.",Ms. Ann Kuster,Ms. KUSTER,Ann M. Kuster
CREC-2016-02-12-pt1-PgD142,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgD142-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgD142-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgD143,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgD143-2,CREC-2016-02-12,,,,,,,,,,,,,,
