org_id,p1_original,prominence,paragraph_mention_count,10_or_more_org_mentioned,uuid_mention,uuid_paragraph,granuleId,source,interest_group,variation
7192,"Young people couldn't find a mortgage at a price  they could afford and purchase their starter home. In Texas, bankers confirmed that these reported difficulties are  real. They recently signed a letter that urged the Senate to seize this  opportunity and to pass this bill as quickly as possible. As the  Independent Bankers Association of Texas has pointed out, community  banks neither participated in nor profited from the excesses and bad  behavior that precipitated the financial crisis, yet they are paying a  disproportionately high price in attempting to deal with the aftermath. That just about sums it up. Another group from my State, the Texas Bankers Association, has said  that they are pleased to see this bill has finally been brought to the  floor for a vote. That group represents about 450 banking institutions  in my State.",1,1,0,7a9ac0a2-6943-48b1-ab40-3267b4ced386-1,7a9ac0a2-6943-48b1-ab40-3267b4ced386,CREC-2018-03-07-pt1-PgS1405-7,Labeled_Data.csv,Independent Bankers Association of Texas,Independent Bankers Association of Texas
611,"3004. Please contact Jose Magana-Salgado, of the Immigrant Legal       Resource Center if you have any questions regarding this       letter. Thank you for your time and consideration. Sincerely,        National Organizations:        America's Voice Education Fund; American Federation of       Teachers; American Friends Service Committee (AFSC);       American-Arab Anti-Discrimination Committee; Americans       Committed to Justice and Truth; Asian American Legal Defense       and Education Fund (AALDEF); Asian Americans Advancing       Justice--ANC; Asian Americans Advancing Justice--Asian Law       Caucus; Asian Pacific American Labor Alliance, AFL-CIO       (APALA); Asian Pacific Institute on Gender-Based Violence;       ASISTA; Bend the Arc Jewish Action; Black Alliance for Just       Immigration; Casa de Esperanza: National Latin@ Network;       Catholic Legal Immigration Network, Inc.; Center for American       Progress; Center for Employment Training; Center for Gender &       Refugee Studies; Center for Law and Social Policy; Center for       New Community. Center for Popular Democracy (CPD); Christian Church       (Disciples of Christ) Refugee & Immigration Ministries;       Christian Community Development Association; Church World       Service; Coalition on Human Needs; CODEPINK; Columban Center       for Advocacy and Outreach; Committee in Solidarity with the       People of El Salvador (CISPES); Community Initiatives for       Visiting Immigrants in Confinement (CIVIC); Defending Rights       & Dissent; Disciples Center for Public Witness; Disciples       Home Missions; Dominican Sisters of Sparkill; Drug Policy       Alliance; Easterseals Blake Foundation; Equal Rights       Advocates; Farmworker Justice; Freedom Network USA; Friends       Committee on National Legislation; Fuerza Mundial. Futures Without Violence; Grassroots Leadership; Hispanic       Federation; Hispanic National Bar Association; Holy Spirit       Missionary Sisters--USA--JPIC; Immigrant Legal Resource       Center; Intercommunity Peace & Justice Center; Interfaith       Worker Justice; Isaiah Wilson; Jewish Voice for Peace; Jewish       Voice for Peace--Boston; Jewish Voice for Peace--Tacoma       chapter; Jewish Voice for Peace--Western MA; Justice       Strategies; Kids in Need of Defense (KIND); Lambda Legal;       Laotian American National Alliance; Latin America Working       Group; Latino Victory Fund; LatinoJustice PRLDEF. League of United Latin American Citizens; Lutheran       Immigration and Refugee Service; Mi Familia Vota; Milwaukee       Chapter, Jewish Voice for Peace; NAACP; National Center for       Transgender Equality; National Coalition Against Domestic       Violence; National Coalition for Asian Pacific American       Community Development; National Council of Asian Pacific       Americans (NCAPA); National Council of Jewish Women; National       Council of La Raza (NCLR); National Day Laborer Organizing       Network (NDLON); National Education Association; National       lmmigrant Justice Center; National Immigration Law Center;       National Immigration Project of the NLG; National Iranian       American Council (NIAC); National Justice for Our Neighbors;       National Korean American Service & Education Consortium       (NAKASEC); National Latina Institute for Reproductive Health.",0,1,1,928e71f5-a197-42a0-a57d-c9e081a6eba2-1,928e71f5-a197-42a0-a57d-c9e081a6eba2,CREC-2017-06-29-pt1-PgH5333,Labeled_Data.csv,"Asian Pacific American Labor Alliance, AFL-CIO","Asian Pacific American Labor Alliance, AFL-CIO"
20114287,"Madam Speaker, I yield 2 minutes to the gentleman from  New Jersey (Mr. Smith), who has been a champion for life and been  fighting for life for a long time. Mr. SMITH of New Jersey. I thank the gentlewoman for her  extraordinary leadership on the life issue. Madam Speaker, subsidized by over $500 million taxpayer dollars each  year, Planned Parenthood dismembers or chemically poisons a baby to  death every 2 minutes, killing over 7 million innocent children since  1973. Undercover videos in 2015 exposed, in numbing candor, several high- level Planned Parenthood leaders nonchalantly talking about procuring  children's organs for a price. They describe altering gruesome  dismemberment procedures to preserve intact livers, hearts, and lungs  from freshly killed babies. All of this begs the question, Madam Speaker, why are U.S. taxpayers  giving half a billion dollars each year to Planned Parenthood?",1,3,0,d3c992da-7ff4-40c5-a2bc-56333cfeefa5-1,d3c992da-7ff4-40c5-a2bc-56333cfeefa5,CREC-2017-02-16-pt1-PgH1268,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
20114287,"All Missourians deserve quality health care, which is one reason I  oppose taxpayer funding of Planned Parenthood. This organization does  not provide general women's health or mammogram screenings. That is a  fallacy. In the State of Missouri, there are 12 Planned Parenthood facilities  scattered across our 114 counties. However, Mr. Speaker, we are  grateful to have 588 healthcare clinics that prioritize women's health  and wellness. That is 49 healthcare clinics for every 1 Planned  Parenthood health center. So instead of driving 100 miles or more to a  Planned Parenthood in Missouri, women can receive the quality care they  need within their own communities.",1,3,0,096e622c-2737-496f-ba75-a59c633a6d8c-1,096e622c-2737-496f-ba75-a59c633a6d8c,CREC-2017-04-04-pt1-PgH2636,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
2853,"It is a fundamental constitutional issue for this body and part  of our duty in the Senate and the Congress; that is, to ensure next  week the funding for the government which expires at the end of the  month. With only 1 week until the current government funding runs out,  it is our responsibility to work together to make sure that the  government keeps running, that we do not disrupt people's lives, that  we do not end up spending more money because we shut the government  down to reopen it, and that we provide certainty with all of the  challenges we face at home and, of course, the threats we face abroad. An issue has come up that is a very important issue, and that is an  organization called Planned Parenthood and holding Planned Parenthood  accountable in the wake of deeply disturbing videos that discuss the  appalling practice of harvesting the organs and body parts of unborn  babies. [[Page S6882]]    Like Americans across all political spectrums, I was just sick--sick  to see the contents of recent videos that have been disclosed that show  a callous disregard by officials at Planned Parenthood for the dignity  of human life. These videos have shocked the conscience of people  across our country because this organization does receive taxpayer  funding. I understand why we have had an important debate in this body  about redirecting this funding because of Planned Parenthood's actions  and fully investigating what was revealed in these disturbing videos  that show the practice of the harvesting of organs and body parts of  unborn babies. So I support the efforts of the Judiciary Committee to investigate  these disturbing videos.",1,4,0,d9739812-a6d2-4a01-b973-43e5b678bfa1-1,d9739812-a6d2-4a01-b973-43e5b678bfa1,CREC-2015-09-22-pt1-PgS6870-2,Labeled_Data.csv,Planned Parenthood Federation of America,Planned Parenthood
80014,"However, the Clean Water Act is focused on restoring and maintaining  the integrity of the nation's waters, with a primary focus on the  protection of local water quality. It is simply incorrect to say that applying a FIFRA-approved  pesticide in accordance with its labeling requirement is a surrogate  for protecting local water quality. As any farmer knows, complying with  FIFRA is as simple as applying a pesticide in accordance with its  label--farmers do not need to look to the localized impact of that  pesticide on local water quality. So, why are groups ranging from the American Farm Bureau Federation  to Crop Life America so adamantly opposed to this regulation? One plausible answer is because these groups do not want to come out  of the regulatory shadows that have allowed unknown individuals to  discharge unknown pesticides in unknown quantities, with unknown  mixtures, and at unknown locations. I wonder how the American public would react to the fact that, for  decades, pesticide sprayers could apply massive amounts of potentially- harmful materials, almost completely below the radar. In fact, prior to the issuance of the pesticide general permit, the  only hard evidence on pesticide usage in this country came from a  voluntary sampling of the types and amounts of pesticides that were  purchased from commercial dealers of pesticides.",1,1,0,f740742f-1f4b-408c-8e3e-fc0d81f17147-1,f740742f-1f4b-408c-8e3e-fc0d81f17147,CREC-2016-05-17-pt1-PgH2446-4,Labeled_Data.csv,American Farm Bureau,American Farm Bureau
391,"Such training shall address--        ``(aa) opioid maintenance and detoxification;        ``(bb) appropriate clinical use of all drugs approved by       the Food and Drug Administration for the treatment of opioid       use disorder;        ``(cc) initial and periodic patient assessments (including       substance use monitoring);        ``(dd) individualized treatment planning; overdose       reversal; relapse prevention;        ``(ee) counseling and recovery support services;        ``(ff) staffing roles and considerations;        ``(gg) diversion control; and        ``(hh) other best practices, as identified by the       Secretary. ''; and        (B) by adding at the end the following:        ``(iii) The term `qualifying practitioner' means--        ``(I) a qualifying physician, as defined in clause (ii); or        ``(II) during the period beginning on the date of the       enactment of the Opioid Use Disorder Treatment Expansion and       Modernization Act and ending on the date that is 3 years       after such date of enactment, a qualifying other       practitioner, as defined in clause (iv). ``(iv) The term `qualifying other practitioner' means a       nurse practitioner or physician assistant who satisfies each       of the following:        ``(I) The nurse practitioner or physician assistant is       licensed under State law to prescribe schedule III, IV, or V       medications for the treatment of pain. ``(II) The nurse practitioner or physician assistant       satisfies one or more of the following:        ``(aa) Has completed not fewer than 24 hours of initial       training addressing each of the topics listed in clause       (ii)(IV) (through classroom situations, seminars at       professional society meetings, electronic communications, or       otherwise) provided by the American Society of Addiction       Medicine, the American Academy of Addiction Psychiatry, the       American Medical Association, the American Osteopathic       Association, the American Nurses Credentialing Center, the       American Psychiatric Association, the American Association of       Nurse Practitioners, the American Academy of Physician       Assistants, or any other organization that the Secretary       determines is appropriate for purposes of this subclause. ``(bb) Has such other training or experience as the       Secretary determines will demonstrate the ability of the       nurse practitioner or physician assistant to treat and manage       opiate-dependent patients. ``(III) The nurse practitioner or physician assistant is       supervised by or works in collaboration with a qualifying       physician, if the nurse practitioner or physician assistant       is required by State law to prescribe medications for the       treatment of opioid use disorder in collaboration with or       under the supervision of a physician       .The Secretary may review and update the requirements for       being a qualifying other practitioner under this clause. '';       and        (4) in subparagraph (H)--        (A) in clause (i), by inserting after subclause (II) the       following:        ``(III) Such other elements of the requirements under this       paragraph as the Secretary determines necessary for purposes       of implementing such requirements.",1,1,0,8f8d5264-db8c-4413-9aec-fcf13c5a97af-1,8f8d5264-db8c-4413-9aec-fcf13c5a97af,CREC-2016-05-13-pt1-PgH2355,Labeled_Data.csv,American Medical Association,American Medical Association
557,"I would finally like to take just a moment to thank Jennifer  Choudhry, my former legislative director, for her hand in introducing  and shepherding this bill through the legislative process. Her  contributions were invaluable, and she should be proud of her part in  getting this legislation to the House floor today. I also thank Sally  Rose Larson, who has taken up the mantle in my office and helped to get  us here to the finish line. The Defend Trade Secrets Act enjoys support from a broad coalition of  groups and industries, from Americans for Tax Reform, the American Bar  Association Intellectual Property Law Section, the Information  Technology Industry Council, the chamber of commerce, the National  Association of Manufacturers, and many more. In fact, Mr. Speaker, this  bill has more than 160 bipartisan cosponsors. Mr. Speaker, estimates show that as much as 80 percent of companies'  assets are intangible, many in the form of trade secrets. Couple that  with the fact that trade secrets theft is costing America billions of  dollars each year.",1,1,0,1ca82c3e-db12-490e-9afc-75336f4c8e55-1,1ca82c3e-db12-490e-9afc-75336f4c8e55,CREC-2016-04-27-pt1-PgH2028,Labeled_Data.csv,Americans for Tax Reform,Americans for Tax Reform
182,"ONDCP holds all federal, state, and local agencies       accountable for achieving specific goals to reduce drug       trafficking, use, and other consequences. At a time when drugs now kill more people than firearms or       car crashes, it is more important than ever for ONDCP to       remain a strong voice in the White House and a visible       presence nationally. As plans are finalized for the       Administration's proposed FY 2018 budget, we once again ask       the Administration to maintain a strong commitment to ONDCP       by proposing the highest level of funding possible for the       agency and its programs given the importance of ONDCP's       mission and the current opioid crisis. Sincerely,        A New PATH, Addiction Haven, Addiction Medicine Foundation,       Addiction Policy Forum, Advocates for Recovery Colorado,       Alabama Citizens Action Program, Alano Club of Portland,       American Academy of Addiction Psychiatry, American Academy of       Pediatrics, American Association for the Treatment of Opioid       Dependence, American Association of Child & Adolescent       Psychiatry, American Association of Colleges of Pharmacy,       American Congress of Obstetricians and Gynecologists,       American Correctional Association, American Osteopathic       Academy of Addiction Medicine, American Osteopathic       Association, American Psychiatric Association, American       Psychological Association, American Public Health       Association, American Society of Addiction Medicine. AmerisourceBergen Corporation, Association for Behavioral       Health and Wellness, Association of Persons Affected by       Addiction (APAA), Association of Prosecuting Attorneys,       Association of Recovery Community Organizations, Association       of Recovery Schools, Association of Schools and Programs of       Public Health, Association of State and Territorial Health       Officials, Bangor Area Recovery Network, Inc., Big Cities       Health Coalition, California Academy of Family Physicians,       California Consortium of Addiction Programs and       Professionals, Capital Area Project Vox, Caron Treatment       Centers, Catholic Charities Maine, Center for Recovery and       Wellness Resources, Center for Substance Abuse Research,       University of Maryland, Chicago Recovering Communities       Coalition (CRCC), Collaborative for Effective Prescription       Opioid Policies, College on Problems of Drug Dependence. Communities for Recovery, Community Alliances for Drug-Free       Youth, Community Anti-Drug Coalitions of America, Community       Oriented Correctional Health Services, Connecticut       Certification Board, Connecticut Community for Addiction       Recovery (CCAR), Council on Prevention and Education:       Substances, DarJune Recovery Support Services & Cafe, DC       Recovery Community Alliance, Delaware Certification Board,       Detroit Recovery Project, Inc., Dorchester Recovery       Initiative, Drug Free America Foundation, Drug Free Schools       Coalition, DUID Victim Voices, Easy Does It, Inc., El Paso       Alliance, Engaged Recovery Community Services, Entertainment       Industries Council, Inc., Faces & Voices of Recovery. Facing Addiction, FAVOR Greenville, FAVOR Mississippi       Recovery Advocacy Project, FAVOR Pee Dee, FAVOR Tri-County,       FED UP Coalition to End the Opioid Epidemic, Fellowship       Foundation Recovery Community Organization, Florida Coalition       Alliance, Floridians for Recovery, Foundation for Recovery,       Friends of Recovery--New York, Friends Research Institute,       Inc., Gem County Recovery Community Center, Georgia Council       on Substance Abuse, Gerontological Society of America,       Greater Macomb Project Vox, Hazelden Betty Ford Institute for       Recovery Advocacy, HOPE for New Hampshire Recovery, Illinois       Alcohol and Other Drug Abuse Professional Certification       Association, Institute for Behavior and Health.",0,1,1,a9504d29-f158-4b77-ba2f-792edbc1dfc7-1,a9504d29-f158-4b77-ba2f-792edbc1dfc7,CREC-2017-05-09-pt1-PgS2833,Labeled_Data.csv,American Association of Colleges of Pharmacy,American Association of Colleges of Pharmacy
20114287,"  Congressional Record, Volume 161 Issue 120 (Tuesday, July 28, 2015)   [Congressional Record Volume 161, Number 120 (Tuesday, July 28, 2015)] [Senate] [Page S6077] From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]               STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS        By Mr. INHOFE (for himself, Mr. McCain, and Mr. Rounds):   S. 1877. A bill to require the Attorney General to appoint a special  prosecutor to investigage Planned Parenthood, and for other purposes;  to the Committee on the Judiciary. Mr. INHOFE. Mr. President, we have all been disturbed--just really  outraged--about the things that have come from Planned Parenthood  recently. We have seen the videos exposing their casual disregard of  human life.",1,2,0,23dfe7cf-e6dd-4659-94e0-ddda40d5a64d-1,23dfe7cf-e6dd-4659-94e0-ddda40d5a64d,CREC-2015-07-28-pt1-PgS6077,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
221,"He clerked for an appellate judge and two Supreme  Court Justices. He had many years of experience in both private  practice and in public service and, of course, over 10 years as an  appellate judge. He possesses fine judicial temperament: highly  erudite, highly accomplished, and highly regarded by those who know him  best. It is no surprise, then, that the American Bar Association, in a  unanimous vote, declared him ``well qualified'' for the job. While I wouldn't outsource our responsibilities to any advocacy  organization, I would note that the minority leader himself once said  the ABA rating is ``the gold standard by which judicial candidates are  judged.'' But, of course, Judge Gorsuch is not just filling any seat, but the  seat once held by the late Justice Antonin Scalia. Justice Scalia was a  giant of American jurisprudence.",1,1,0,04567724-f722-464b-867f-486fe93886a7-1,04567724-f722-464b-867f-486fe93886a7,CREC-2017-03-30-pt1-PgS2139,Labeled_Data.csv,American Bar Association,American Bar Association
72797,"897 was drafted very narrowly to address only the Sixth Circuit  Court's decision and gives States and local entities that spray to  control mosquito populations the certainty and the ability needed to  protect public health. EPA even provided technical assistance in  drafting this bill so it can achieve these objectives. Well over 150 organizations representing a wide variety of public and  private entities and thousands of stakeholders support a legislative  resolution of this issue. Just to name a few, these organizations  include the American Mosquito Control Association, the National  Association of State Departments of Agriculture, the National Water  Resources Association, the American Farm Bureau Federation, the  National Farmers Union, Family Farm Alliance, the National Rural  Electric Cooperative Association, CropLife America, Responsible  Industry for a Sound Environment, the Agricultural Retailers  Association, and the National Agricultural Aviation Association. I thank Chairman Shuster for his leadership at the Transportation and  Infrastructure Committee as well as Chairman Conaway and Ranking Member  Peterson on the Agriculture Committee for their leadership on this  issue. This is a responsible, commonsense bill that will help ensure public  health officials aren't fighting Zika with their hands tied behind  their back. I reserve the balance of my time.",0,1,1,39a98177-6ca7-4b79-b550-2b027d76e3fc-1,39a98177-6ca7-4b79-b550-2b027d76e3fc,CREC-2016-05-24-pt1-PgH3031,Labeled_Data.csv,American Mosquito Control Association,American Mosquito Control Association
